266	453	take out	hand	cutting board	counter,drawer
471	645	take out	hand	knife	cutting board,drawer
645	700	close	hand		drawer
746	1245	take out	hand	orange	cupboard
1338	1597	take out	hand	plate	counter,cupboard
1666	1800	wash	hand	orange	
1902	1975	dry	towel	hand	
2077	2248	cut	knife	orange	cutting board
2271	2950	peel	knife	orange	
3127	3461	slice	knife	orange	cutting board
3465	3635	cut	knife	orange	cutting board
3685	3822	cut	knife	orange	cutting board
3822	3835	move	hand	orange	cutting board
3840	3862	move	hand	orange	cutting board
3862	3957	cut	knife	orange	cutting board
3957	3972	move	hand	orange	cutting board
3979	4005	move	hand	orange	cutting board
4005	4158	cut	knife	orange	cutting board
4158	4186	move	hand	orange	cutting board
4219	4259	cut	knife	orange	cutting board
4281	4441	cut	knife	orange	cutting board
4482	4579	move	hand,knife	orange	cutting board,plate
4779	4864	move	hand,knife	orange	cutting board,plate
4872	4946	move	hand,knife	orange	cutting board,plate
4951	5103	move	hand,knife	orange	cutting board,plate
5107	5160	move	hand,knife	orange	cutting board,plate
5184	5291	cut	knife	orange	cutting board
5296	5360	move	hand,knife	orange	cutting board,plate
5364	5402	move	hand,knife	orange	cutting board,plate
5459	5516	move	hand	plate	counter
