142	245	take out	hand	cutting board	counter,drawer
255	308	close	hand		drawer
325	577	take out	hand	plum	fridge
611	715	wash	hand	plum	
774	854	open	hand		drawer
898	1009	take out	hand	knife	drawer
1059	1255	cut	knife	plum	cutting board
1314	1558	cut	knife	plum	cutting board
1602	1696	take apart	hand	plum	
1741	1893	cut	knife	plum	cutting board
1931	2048	take apart	hand	plum	
2126	2474	cut	knife	plum	cutting board
2545	2686	take apart	hand	plum	
2731	2757	take apart	knife	plum	cutting board
2798	2841	cut	knife	plum	cutting board
2883	3027	take apart	hand	plum	
3095	3342	take apart	hand	plum	
3397	3453	take apart	hand	plum	
3525	3581	cut	knife	plum	cutting board
3648	3717	cut	knife	plum	cutting board
3765	3842	throw in garbage	hand	stone	
