259	411	take out	hand	cutting board	counter,drawer
513	661	take out	hand	knife	cutting board,drawer
730	942	take out	hand	avocado	cutting board,fridge
975	1220	cut	knife	avocado	cutting board
1254	1317	take apart	hand	avocado	
1434	1569	take apart	hand	stone	
1622	1656	cut	knife	stone	
1845	2195	peel	hand	avocado	
2297	2410	take apart	hand	stone	
2443	2484	peel	hand	avocado	
2646	2934	peel	hand	avocado	
3081	3117	cut	knife	avocado	cutting board
3146	3184	take apart	hand	avocado	
3204	3314	take apart	hand	avocado,stone	
3395	3539	throw in garbage	hand	peel,stone	
3573	3779	wash	hand	hand	
3827	3884	dry	towel	hand	
3976	4005	cut	knife	avocado	cutting board
4067	4093	cut	knife	avocado	cutting board
4176	4382	slice	knife	avocado	cutting board
4444	4533	slice	knife	avocado	cutting board
4687	4839	slice	knife	avocado	cutting board
4946	5054	throw in garbage	cutting board,knife	garbage	
