252	452	take out	hand	cutting board	counter,drawer
471	627	take out	hand	knife	cutting board,drawer
627	686	close	hand		drawer
723	975	take out	hand	cucumber	fridge
1004	1353	take out	hand	plate	counter,cupboard
1366	1413	move	hand	sponge	counter,sink
1450	1594	wash	hand	cucumber	
1665	1721	move	hand	plate	counter
1750	1813	dry	towel	hand	
1854	1883	move	hand	cucumber	cutting board,plate
1883	2036	cut	knife	cucumber	cutting board
2099	2523	slice	knife	cucumber	cutting board
2618	2717	move	hand	cucumber	cutting board,plate
2798	2844	move	hand	plate	counter
