202	495	take out	hand	orange	fridge		The man enters the kitchen and immediately retrieves an orange from the refrigerator.	The person gets out an orange.	He grabs an orange. 			He gets an orange.	Takes an orange out of the refrigerator.	An orange is removed from the refrigerator.	The person retrieves an orange from the fridge. 		The person gets out an orange.	The person gets out an orange.	The person gets out an orange.	He took out orange	The person gets out an orange.
621	740	take out	hand	cutting board	counter,drawer	Take orange and place on a cutting board.		The person gets out a wooden plate.			An orange is removed from the refrigerator.. The person selects a cutting board.	He gets a cutting board.	Takes a cutting board out of the drawer.	The person selects a cutting board.		The man takes out one orange from the refrigerator. . He pulls out a cutting board and places the orange on top of it. 	The person gets out a wooden plate.	The person gets out a wooden plate.	The person gets out a wooden plate.	He took out cutting board	The person gets out a wooden plate.
740	793	close	hand		drawer																
802	940	take out	hand	spoon	cutting board,drawer			The person gets out a spoon.			The person selects a spoon.			The person selects a spoon.		He places a spoon on the cutting board. 	The person gets out a spoon.			He took out spoon	The person gets out a spoon.
949	1221	take out	hand	knife	cutting board,drawer	Find a large knife and spoon.	The man retrieves a cutting board, spoon, and knife from the drawer.	The person gets out a knife.	He gets a cutting board, spoon, and knife. 	the person gets a spoon, a sharp knife and a cutting board	The person selects a knife.	He gets a spoon and knife.	Takes a knife and spoon out of the drawer.	The person selects a knife.	The person places the orange, a knife, and a spoon on a cutting board.	Finally, he takes out a knife and places it on the cutting board. 	The person gets out a knife.	The person gets out a spoon and a knife.	The person gets out a spoon and a knife.	He took out knife	The person gets out a knife.
1280	1771	cut	knife	orange	cutting board	Take the knife and cut an opening in the skin of the orange by completely going around the orange, in one line.	The man takes a knife and carefully makes a slice mark around the center of the orange.			the person slices the orange a little in 360 degrees without slicing through it	The orange is cut around the center .			The orange is cut through the peel around the center.	The person scores the orange peel around the middle with the knife.. The person uses the spoon to loosen the peel on one half of the orange.	He uses the knife to cut completely around the orange. . Next, he uses the spoon in the same area to trace around the orange. 					
1805	3334	peel	spoon	orange		Now take the spoon and put it through the opening of the skin and peel/scoop the orange away from the skin.	The man places the spoon under the slit in the orange peel and continues to push the spoon around the peel until it comes loose.								The person uses the spoon to loosen the peel on the other half of the orange.						
3334	3384	take apart	hand	orange,peel												Finally, he uses his hands to remove the top peeling portion of the orange. 					
3384	3552	take apart	hand	orange,peel			The man twists off the orange shell.	The person peels the orange.	He peels the orange.		The orange peel is loosened and removed.			The orange peel is loosened and removed.	The person pulls the loosened peel off the orange with his hands.	Next, he removes the remaining peeling of the orange with his hands. 		The person peels the orange.	The person peels the orange.		The person peels the orange.
3566	3597	move	hand	peel	counter,cutting board							He peels the orange.	Uses the knife and spoon to peel the orange.								
