244	358	take out	hand	pot	counter,drawer	Person takes out pot.		She took out pot	The person gets out a pot. 		The person takes out a lidded pot from the drawer.	She took out pot			She took out pot	She took out pan						The person gets out a pot.
358	413	close	hand		drawer								The person takes out a lidded pot from the drawer.	She opens a drawer and takes out a pot.				Person fetches saucepan.	The person gets out a pan.			
423	481	remove lid	hand	lid	pot												Get a large pot with a see through lid.				Girl gets a pot and fills it with water.	
581	832	fill	faucet	water	pot	Person fills pot with water.		She put water in pot						She takes the pot to the sink and fills it with water.		She put water in pan			The person fills the pan with water.	The person just filled up the pot with water.		
832	890	move	hand	pot	,counter						The person fills the pot with water from the faucet.	She put water in pot	The person fills the pot with water from the faucet.		She put water in pot		Fill it approximately a third of the way with water. 					
890	952	put lid	hand	lid	pot		A pot is selected and filled with water.	She put lid on pot	The person puts water in the pot from the faucet, then puts the lid on the pot.									Person fills saucepan with two inches of water and places on worktop.				
1015	1070	take out	hand	spice shaker	spice holder					the person gets a pot and fills it with water												
1082	1117	screw	hand	spice shaker																		
1134	1148	remove lid	hand	lid	pot																	
1148	1244	spice	spice shaker	salt	pot	Person puts salt into pot.																
1244	1289	put lid	hand	lid	pot			She put salt in pot	The person adds salt, then puts the lid back on pot. 			She added salt to pot				She put salt in pan	Add ten to fifteen dashes of salt to the water.			The person just added salt to the water	The girl adds salt to the water.	
1289	1353	screw	hand	spice shaker							The person gets a condiment and adds it to the water.		The person gets a condiment and adds it to the water.	She walks over to counter and get some salt and sprinkles it into the pot of water.	She put salt in pot			Person fetches spice and pours some into saucepan.	The person adds salt to the water.			The person puts water and salt in the pot.
1381	1453	move	hand	pot	counter,stove	Person puts pot onto stove.		She put pot on stove							She put pot on stove			Person places saucepan on stove top.		The person just put the pot on the stove.		
1467	1551	put in	hand	spice shaker	counter,spice holder		The water is salted and the pot is placed on the stove.			the person seasons the water in the pot with salt		She put pot on stove						Person returns spice to spice rack.				
1598	1663	turn on	hand	stove																		
