250	763	take out	hand	egg	counter,fridge	The person got out two eggs.	Retrieve your eggs from the refrigerator.	The person gets three eggs from the fridge.	He took out eggs		He gets some eggs out of the fridge.	He took out eggs 	He sets some eggs on the counter.	The person takes three eggs out of the refrigerator.	The man begins by selecting 3 eggs from the fridge and places them on the counter. 	The person gets out three eggs.		He took out eggs	He took out eggs	He gets out the eggs. 	The person removes two eggs from the fridge.	He took out egg	The man opens the fridge, removes three eggs and places them on the counter.
859	1047	take out	hand	pot	,drawer				He took out pot		 He gets a pot out of the cupboard.	He took out pot						He took out pan	He took out pan			He took out pot	
1083	1363	wash	hand	pot		The person got a pot out and rinsed it out.	Find a pot and rinse it out and place it on the counter.	The person takes out a pot from the drawer and rinses it in the sink.	He washed pot			He put water in pot				The person gets out a pan and rinses it.		He washed pan	He washed pan	He removes a pot and rinses it. 	The person takes a metal bowl from a drawer and rinses it in the sink.	He washed pot	
1493	1581	turn on	hand	stove											Next, he retrieves a pot and rinses it with water. 								
1581	1632	change temperature	hand	stove		The person turned the oven on.	Set your stove top temperature and place the pot on the burner.		He put pot on stove. He turned on stove	A man enters the kitchen, removes a pot from the drawer, rinses it out in the sink, places it on the stove and turns on the heat.	He turns on the stovetop.	He turned on stove. He put pot on stove 	He gets a pot and puts it on the stove.	The person washes the pot and turns on the gas to heat the pot.		The person turns on the stove and puts the pan on it.	He gets out three eggs and a pot which he washes, fills with water, and places on the stove.	He turned on stove. He put pan on stove	He turned on stove	He turns on the stove and places the pot on it.		He turned on stove. He put pot on stove	He removes a large sauce pan from drawer, goes to the sink and rinses the pan.  He turns on the stove and places the pan on the burner.
1876	2058	take out	hand	wrapping paper	counter,fridge	The person got butter out.			He took out butter 			He took out butter							He took out butter		The person turns the stove on and gets some butter from the fridge.	He took out butter	
2058	2219	remove from package	hand	butter	wrapping paper			The takes butter from the fridge and sets it on the counter.								The person gets out some butter.			He put butter in pan			He put butter in pot	
2334	2573	put in	hand	egg	counter,fridge		Get butter.		He put back one egg			He put back one egg		The person takes a stick of butter out of the refrigerator and returns an egg back into the refrigerator.	He adds some butter to the pot. 	The person puts away one egg.	He gets out some butter and puts an egg back into the refrigerator.	He put one egg back				He put one egg back	He goes to the fridge, removes butter and places it on the counter.  Then he returns one egg back to the fridge.
2706	2779	open	hand		cupboard																		
2802	2905	take out	hand	teaspoon	,drawer				He took out knife	He retrieves two eggs and some butter from the refrigerator and a fork from the drawer.		He took out spoon						He took out knife	He took out knife			He took out spoon	
2963	3169	add	teaspoon	butter	pot,wrapping paper				He put butter in pot			He put butter in pot						He put butter in pan					
3186	3314	add	teaspoon	butter	pot,wrapping paper	The person put the butter in the pot.		The person takes out a spoon from the drawer and scoops butter into the metal bowl on the stove.			He adds some butter into the heated pan.		He puts some butter in the pot.							He puts some butter in the pot. 	The person takes a spoon from the cutlery drawer and oddly scoops butter into the metal bowl on the stove.	He put butter in pot	
3340	3384	change temperature	hand	stove			Get a spoon and spoon some butter into the pot.		He turned down heat	He adds some butter to the hot pan and adjusts the heat.						The person gets out a spoon and scoops butter into the pan.	He gets out a spoon, scoops some butter out into the plan, and changes the temperature of the stove.					He turned down stove	He removes a spoon from the drawer and uses it to put butter in the pan.
3443	3514	take out	hand	spatula	,drawer		Get a spatula ready.	The person takes out a wooden spoon from the drawer.	He took out wooden spoon							The person gets out a wooden spatula.		He took out wooden spoon	He took out wooden spoon			He took out wooden spoon	
3599	3798	open egg	hand	egg	pot			The person breaks an egg into the metal bowl on the stove and stirs it with the wooden spoon.							Next, he cracks the first of the eggs and adds it to the pot, quickly beating it with the wooden spatula. 			He cracked egg in pan	He cracked egg			He cracked first egg. He beat first egg	
3806	4122	stir	spatula	butter,egg	pot													He mixed egg in pan	He mixed egg				
4122	4175	move	hand	pot	counter,stove		Crack an egg on the side of the pot and stir the egg briskly.										He gets out an egg, cracks it on the side of the pot, opens it into the pot, and uses the spatula to mix it around before taking the pot off the stove.		He took pan off stove			He took pot off stove	
4188	4347	open egg	hand	egg	pot			The person takes the metal bowl off the stove and breaks the other egg into it.			He cracks the eggs into the pot.			The person adds some butter into the pot and cracks both eggs into the pot.				He took pan off heat	He cracked last egg	He cracks the eggs and put them in the pot. 	The person takes a wooden spoon from the drawer, cracks both eggs into the bowl and stirs them.		
4424	4473	move	hand	pot	counter,stove					He removes the pan from the heat, directly cracks the two eggs into the pan and returns it to the heat.									He put pan back on stove				
4473	4540	stir	spatula	butter,egg	pot																		
4540	4576	change temperature	hand	stove		The person cracked the eggs into the pot.							He puts the eggs into the pot. 										
4576	5099	stir	spatula	butter,egg	pot									The person constantly stirs the eggs.	He then repeats the previously step with the next two eggs. 	The person cracks the eggs into the pan and stirs.							He removes a wooden spoon from the drawer, picks up an egg and cracks it open and puts in the pan and stirs.  He removes the pan from the burner and adds the second egg.  Then he returns the pan to the burner and continues to stir the eggs.
5149	5185	take out	hand	spice shaker	,spice holder												He cracks the other egg into the pot, places the pot back onto the stove and mixes it around some more.						
5196	5226	screw	hand	spice shaker																			
5237	5399	spice	spice shaker	salt	pot																		
5415	5440	screw	hand	spice shaker			Add Salt.																
