219	354	take out	hand	cutting board	counter,drawer	Person takes out cutting board			He gets out a circular cutting board.		Selects a chopping board	He gets out a circular cutting board.		He took out cutting board	He took out cutting board				The person takes a chopping board out of the drawer.	He took out cutting board	
396	443	close	hand		drawer			The person places a cutting board on the counter.													The person gets out a wooden plate.
443	784	take out	hand	knife	cutting board,drawer	Person takes out knife	The man enters the kitchen and takes a cutting board and knife from the drawers.		He pulls out a knife.		selects a knife			He took out knife	He took out knife	The person places a cutting board and knife on the counter.				He took out knife	The person gets out a knife.
784	833	close	hand		drawer			The man places a large knife on the counter.				He gets a knife.	Get out your Cutting Board and a Knife 				The person grabs a cutting board, and a large knife placing them on the counter.	The man enters the kitchen and retrieves a cutting board and knife from the cabinet.	The person takes a knife out of the drawer.		
891	1169	take out	hand	chilli	,cupboard			The person selects a fresh chili from the cabinet.			he turns around and walks to the cuppards in back where he takes out a pepper			He took out chili	He took out chili				The person takes a chilli out of the cupboard.	He took out chili	The person gets out a chili.
1201	1241	open	hand		cupboard																
1247	1576	take out	hand	plate	counter,cupboard	Person takes out chili and plate	The man gets a chili and plate from the cabinets.	The man selects a small dish from the cabinet.. The man places the dish on the counter.	He takes out a plate and a chili pepper. He washes the chili.	The person got out a cutting board, a knife, and a small plate.	he selects a plate from the cubbard next and returns them both to the chopping board	He gets a chili pepper and a small plate.. He washes the pepper.	Take out Chili Pepper and a Plate 	He took out plate	He took out plate	The person places a plate on the counter.	The person grabs a fresh chili, and a small plate placing the plate on the counter.	The man then retrieves a chili pepper and dish from the cabinet and places them on the counter.	The person takes a plate out of the cupboard.	He took out plate	The person gets out a plate.
1667	1809	wash	hand	chilli		Person rinses the chili.  	The man rinses the chili in the sink.						Wash Pepper 	He washed chili		The person rinses the chili.			The person rinses the chilli with water.		
1809	1859	move	hand	chilli	,cutting board			The man rinses the chili with water.		The person washed the chili pepper.	He washes the pepper 				He washed chili					He washed chili	The person rinses the chili.
1899	2008	dry	towel	hand		Person dries hands.		The man dries his hands on a towel.		The person dried his hands on a towel.	Drys his hands off	He starts cutting the pepper.					The person washes the chili in the sink, places it on the cutting board, and dries his hands.	The man washes the chili pepper in the sink, and then dries his hands on a towel.	The person dries his hands on a towel.		
2092	2787	slice	knife	chilli	cutting board	Person chops chili into small slices.	The man holds the chili on the cutting board, then takes the knife and carefully goes down a straight line and dices it.	The man finely chops the chili.	He cuts the pepper into small pieces.	The person sliced the chili pepper.	he dices the pepper 		Slice Pepper into small Pieces 	He diced chili	He diced chili	The person chops the chili in to thin lateral slices.	The person takes the knife, and chops the chili into small pieces leaving the end whole.		The person slices the chilli into small pieces.		
2801	2993	move	hand,knife	chilli	cutting board,plate	Person puts chili onto plate.		The man scoops the chopped chili into the dish.				He puts the peppers on the plate.			He put chili on plate			The man thinly dices the chili and places it onto a plate.		He diced chili	
3030	3065	move	hand	plate	counter		The man uses the knife to move the chili to the awaiting plate.	The video ends.		The person put the chili pepper on the small plate.	moves the pepper to the plate . Arranges the pepper on the plate		Place prepared Chili Pepper on plate 			The person places the chopped chili on the plate.	The person takes the knife, and slides the chopped chili from the cutting board to the small plate.	The man moves the plate with the chili pieces higher on the counter.	The person uses the knife to transfer the sliced chilli onto the plate.	He put chili on plate	The person chops up the chili and puts it on the plate.
