224	358	take out	hand	pan	drawer,stove	He took out a pan	A man enters the kitchen, removes a frying pan from the drawer and places it on the stove.			He gets out a pan. 	Takes skillet out and puts on stove.	The person gets out a frying pan and puts it on the stove.	The person takes out a pan and places it on the stove range.		Prepare a pan for cooking.	The man removes a frying pan from the drawer and places it on the stove.		The person gets out a frying pan and puts it on the stove.. The person gets an egg out of the fridge.	He took out pan	The person takes a pan from a drawer and places it on the stove.
418	732	take out	hand	egg	counter,fridge	He took out an egg	He retrieves on egg from the refrigerator and places it on the kitchen counter.	The man takes out an egg.			Takes an egg out of the refrigerator.	The person gets out an egg.	The person takes out an egg.	He gets a pan and an egg. 		He removes an egg from the refrigerator.		The person gets out a small cup and a fork.	He took out egg	The person gets an egg from the fridge.
841	1014	take out	hand	cup	counter,cupboard	He took out a cup					Takes a cup out of the cabinet.	The person gets out a cup.	The person takes out a cup.						He took out cup	The person gets a cup from the cupboard.
1016	1210	take out	hand	fork	counter,drawer	He took out a fork	He retrieves a coffee cup from the cupboard and a fork from the drawer placing them both on the counter.	The man takes out a cup and a fork.	Got out all of the cooking utensils	He gets an egg, a cup, and a fork. 		The person gets out a fork.	The person takes out a fork.	He gets a spoon and a cup.	Crack one egg and pour it into a cup.	He gets a cup and fork and places them on the counter.	The person gets a skillet, an egg, a cup and a fork.		He took out fork	The person takes a fork from the cutlery drawer.
1237	1350	open egg	cup,hand	egg	cup															
1350	1428	shake	hand	eggshell		He cracked the egg				He cracks the egg.	Cracks open the egg into the cup.	The person cracks the egg into the cup.	The person cracks the egg into the cup.						He cracked egg	The person breaks the egg in half over the cup.
1480	1554	throw in garbage	hand	eggshell								The person throws away the eggshell.		He breaks the egg into the cup and discards the shell.		He cracks the egg open into the cup and discards the shell in the recycling bin.	The person cracks the egg, empties the contents in a cup and discards the shell.	the person cracks the egg in the cup, adds salt and pepper and then stirs it up with the fork.	He threw out shell	
1627	1662	take out	hand	spice shaker	spice holder			The man cracks the egg and places the insides into the cup.												
1670	1722	screw	hand	spice shaker																
1729	1904	spice	spice shaker	salt	cup	He added salt												The person rinses their hands and then turns on the burner.	He added salt	
1921	1959	screw	hand	spice shaker																
1971	2022	put in	hand	spice shaker	,spice holder			He adds salt to the cup.												
2037	2085	take out	hand	spice shaker	spice holder															
2099	2116	screw	hand	spice shaker											Put a little bit of pepper (and salt, as well) into the cup with the egg.					
2128	2188	spice	spice shaker	pepper	cup					He seasons the egg.	Adds some seasoning to the egg mixture.		The person adds salt and pepper to the egg.	He seasons the egg.		He adds spices to the egg in the cup.			He added pepper	
2202	2262	screw	hand	spice shaker				He adds pepper to the cup.									The person seasons the egg.			
2270	2303	put in	hand	spice shaker	,spice holder		He cracks the egg into the coffee cup, throws the shells into the trash and seasons the eggs.								Mix together the contents in the cup.			The person gets out oil, adds some to the pan and then swirls it around in the pan.		The person adds several condiments to the cup containing the egg yolk.
2374	2939	stir	fork	egg	cup	He scrambled the egg	Using the fork, he wisks the eggs in the coffee cup.	The man whisks the egg in the cup.	Prepared egg in mug, including adding spices	He scrambles the egg.		The person adds salt and pepper to the egg and stirs it.	The person uses the fork to scramble the egg.	He scrambles the egg.		He uses the fork to scramble the egg in the cup.	The person stirs the egg with the fork.		He mixed egg	The person beats the egg in the cup with the fork.
3044	3189	wash	hand	hand		He washed his hands 												The person waits a few moments for the pan to heat, then adds the egg to the pan and adjusts the burner temperature.	He washed hands	
3217	3290	dry	towel	hand																
3290	3353	hang up	hand	towel	,handle															
3410	3526	turn on	hand	stove																
3526	3603	change temperature	hand	stove		He turned on stove			Set temperature on stove for pan.		Turns on the stove.	The person turns on the stove.				He turns on the burner under the frying pan.	The person turns the heat on under the skillet.	The person stares at the cooking egg.	He turned on stove	The person turns on the stove.
3673	3873	take out	hand	bottle	cupboard													The person gets out a spatula and then continues to stare at the egg some more.	He took out oil	
