223	419	take out	hand	plastic bag	counter,fridge					The person gets out some broccoli.		Broccoli is removed from the refrigerator.	The person gets out some broccoli.			He goes to refrigerator and takes out broccoli and places it on the counter.	The person gets broccoli out of the fridge.	He goes to the refrigerator and takes out some broccoli.		The person got out the broccoli.		He took out broccoli	The person gets out some broccoli.
452	597	take out	hand	pot	,drawer			The man begins by selecting a broccoli crown from the fridge.														He took out pot	
606	660	remove lid	hand	lid	counter,pot	Get a broccoli crown, a pot, and a lid.	He gets out the broccoli and a pot.								Get a broccoli crown and a pot.		The person gets a medium saucepan and fills it with two inches of water and puts in on the stove to boil.		fill pan with water, turn on stove, cover pan				
740	1072	fill	faucet	water	,pot							A pot is selected and filled with water.					The person gets out a cutting board.	He goes to the drawer and takes out a pot and fills with water and then places it on the stove.. He goes to the drawer and takes out a cutting board.		The person got out a pot and put water in it.	Fill a pot with water.	He put water in pot	The person gets out a pot and puts water in it.
1264	1314	turn on	hand	stove		Fill the pot with water, and put it on the stove top.										He goes to the drawer and takes out a pot and fills it with water and places it on the stove.							The person puts the pot on the stove and turns it on.
1323	1390	change temperature	hand	stove			He put water in the pot and turns on the stove. 								Put water in the pot and put the pot on the burner.					The person turned the stove on.	Place the pot on the stove and heat it to a simmer.	He turned on stove	
1446	1505	put lid	hand	lid	counter,pot					The person gets out a pot, fills it with water, puts it on the stove and turns it on.	He gets a piece of broccoli from the refrigerator and gets a pot out which he fills with water and places on the stove.	The pot is placed on the stove and started.	The person gets out a pot, fills it with water, puts it on the stove and turns it on.	Fill a pan with water and start to heat it up.			The person unwraps the broccoli and washes it thoroughly.	He unwraps the broccoli and disposes of the wrapper and then rinses it in the sink.	gather cutting board, broccoli, rinse under running water	The person covered the pot.		He put lid on pot	
1629	1875	take out	hand	cutting board	counter,drawer			Next, he takes a pot out and fills it halfway with water placing it on the stove top with the lid on. 	Prepare all necessary tools and ingredients. In this case, broccoli, cutting board, and pot of water set to boil.	The person gets out a wooden plate.	He turns on the stove and takes out a cutting board from the drawer.	The person removes a cutting board. 	The person gets out a wooden plate.							The person got out a cutting board.		He took out cutting board	The person gets out a wooden plate.
1892	2001	remove from package	hand	broccoli	plastic bag																		
2017	2052	open	hand		drawer																		
