237	262	wash	hand	hand																					
262	294	shake	hand	hand			The man rinses his hands under the faucet.	He washed hands	He washed hands			He washed hands		Wash Hands 					He grabs some carrots.	He washed hands				He washed hands	
337	592	take out	hand	carrot	,fridge			He took out carrots	He took out carrots		He gets some carrots out of the fridge.	He took out carrots	The person procures some carrots from the fridge.	Gather Carrots 	He grabs some carrots.		He takes carrots out of the fridge.	He gets the carrots.	He gets a bowl and a cutting board.	He took out carrots		The man gets carrots out of the refrigerator	person gets out carrots	He took out carrots	
628	761	take out	hand	bowl	counter,drawer			He took out bowl	He took out bowl			He took out bowl				The man begins by selecting several carrots from the fridge. 			He rinses the carrots.	He took out bowl				He took out bowl	
790	844	take out	hand	cutting board	counter,drawer		He opens the refrigerator and pulls out two carrots, then opens drawer and pulls out a cutting board and bowl.	He took out cutting board	He took out cutting board		He gets a bowl and cutting board out of the cupboard.	He took out cutting board	The person takes out a metal bowl and a cutting board from the drawer. 	Get out Bowl and Cutting Board 	He gets a bowl and a cutting board.		He takes a bowl and cutting board out of the cupboard.	He gets a bowl and a cutting board.	He selects a knife.	He took out cutting board	He retrieved all the needed items.	The man gets a bowl and cutting board out of the drawer	person washes carrots	He took out cutting board	He gets out carrots and equipment. 
896	1137	wash	hand	carrot								He washed carrots		Wash Carrots 							He rinsed the carrots.	The man washes the carrots			
1145	1212	shake	hand	carrot			He rinses the carrots under the faucet and places them in the bowl.	He washed carrots	He washed carrots				The person washes the carrots in the sink. 		He rinses the carrots.		He rinses off the carrots and puts the carrots in a bowl.	He rinses the carrots.		He washed carrots				He washed carrots	He rinses the carrots. 
1330	1388	close	hand		drawer											Next, he retrieves a small cutting board and a stainless steel bowl. 									
1431	1647	take out	hand	knife	,drawer			He took out knife	He took out knife		He gets a knife out of the drawer.	He took out knife								He took out knife			person gets out knife		
1647	1669	move	hand	cutting board	counter					He gets out the needed equipment and the carrots.			The person puts the carrots in the bowl and takes out a knife from the drawer.	Get out a knife 	He chooses a knife.									He took out knife	
1673	1705	move	hand	carrot	bowl,cutting board											He rinses the carrots and places them in the bowl. 									
1736	1818	cut	knife	carrot	cutting board																				
1919	3395	slice	knife	carrot	cutting board							He chopped carrots								He chopped carrot					
3423	3516	chop	knife	carrot	cutting board														He chops the carrots.						
3586	3643	chop	knife	carrot	cutting board																				
3976	4072	chop	knife	carrot	cutting board																				
4117	4316	chop	knife	carrot	cutting board									Chop first Carrot and place chopped carrot into the bowl 					He heats a pan and adds oil to it.			The man dices a carrot on the cutting board		He chopped carrots	
4411	4587	add	knife	carrot	bowl,cutting board			He chopped up carrot								Using a knife, he cuts the ends off of the first carrot and then uses the knife to make thin slices which he later cuts in half. 									
4716	4754	move	hand	carrot	bowl,cutting board		He pulls the knife from the drawer and proceeds to cut off both ends of carrot.  Then he slices and dices the first carrot and slides the pieces back into the bowl with his knife.									He places the cut carrots into the bowl. 			He adds the carrots to the pan.						He chops the first carrot and puts it into the bowl. 
4762	4841	cut	knife	carrot	cutting board														He seasons the carrots.						
4971	5387	slice	knife	carrot	cutting board																				
5407	5590	chop	knife	carrot	cutting board																				
5618	5920	slice	knife	carrot	cutting board																				
5942	6121	chop	knife	carrot	cutting board																				
6157	6351	slice	knife	carrot	cutting board														He adds flavor to the carrots.						
6378	6483	cut	knife	carrot	cutting board			He chopped up second carrot						Chop second carrot and place chopped carrot into bowl 								The man dices another carrot		He chopped up second carrot	
6514	6643	add	knife	carrot	bowl,cutting board		He removes the second carrot from the bowl, slices and dices it, then slides the pieces into the bowl with the knife.		He chopped carrots	He slices the carrots and puts them in a bowl.	He chops the carrots into small pieces.		The person chops the carrots on the cutting board and scoops them into the bowl.		He chops the carrots.		He chops the carrots into small pieces and puts the pieces into the bowl.	He chops the carrots.			He chops the carrots.		person dices carrots		
6661	6765	wash	hand	cutting board,knife																					He chops the other carrot and puts it into the bowl. 
6776	6824	shake	hand	cutting board,knife																					
6878	6915	shake	hand	knife				He washed cutting board					The person washes the cutting board and the knife in the sink.			Next, he repeats the previous step on the second carrot. 									
