203	307	take out	hand	net bag	cupboard	The person takes a clove of garlic from the pantry.	The person takes a clove of garlic from the pantry.	The person takes a clove of garlic from the pantry.	Garlic is removed from a cabinet.	Person takes out garlic from cupboard	He gets a bulb of garlic out of the cupboard. 	Garlic is removed from a cabinet.	The person takes a clove of garlic from the pantry.		The person takes a clove of garlic from the pantry.	He took out garlic		The man removes the garlic from the cabinet	The person gets out a bulb of garlic.				The person gets out some garlic.	
357	540	take out	hand	cutting board	counter,drawer	The person takes out a cutting board from the drawer.	The person takes out a cutting board from the drawer.	The person takes out a cutting board from the drawer.	The person removes a cutting board. 		 He gets a cutting board out of the cupboard.	The person removes a cutting board. 	The person takes out a cutting board from the drawer.		The person takes out a cutting board from the drawer.	He took out cutting board		The man places a cutting board on the counter			He takes out the cutting board		The person gets out a wooden plate.	
545	584	close	hand		drawer														The person gets out a wooden plate.					
585	704	take out	hand	knife	cutting board,drawer	The person takes out a knife from the drawer	The person takes out a knife from the drawer.	The person takes out a knife from the drawer.	The person selects a knife.	Person takes out cutting board and knife	He gets a knife out of the drawer.	The person selects a knife.			The person takes out a knife from the drawer.	He took out knife		The man gets a knife out of the drawer	The person gets out a knife.	The person selects a clove of garlic, cutting board, and knife.	He takes out a small knife	The man retrieves a garlic from the cabinet, and a cutting board and knife from the drawer.	The person gets out a knife.	He gets out the garlic, a cutting board, and a knife. 
737	1008	remove from package	hand	garlic	net bag												The person retrieves a head of garlic, a cutting board and a paring knife.	The man removes the garlic from its packaging		The person takes the clove of garlic out of the bag.	He takes out a head of garlic			
1029	1366	peel	hand	garlic										A man walks in, opens the cabinet, takes some garlic out, a cutting board, and starts to peel it.										
1373	1643	take apart	hand	garlic																				
1668	1783	take apart	hand	garlic																				
1789	1950	peel	hand	garlic		The person removes peels from a clove of garlic.			The bulb is broken apart.	Person unwraps and peels garlic		The bulb is broken apart.				He peeled the garlic	The person removes the outer peel and seperates the cloves from the head of garlic using hands.. The person places a clove of garlic on the cutting board.	The man peels the garlic	The person tears off shreds of garlic with his hands.	The person begins breaking the garlic up with his hands.	He peels the head of garlic until he takes out a garlic clove	The man takes out the garlic from the bag and opens the shell to remove the garlic cloves before returning the other piece of garlic to the cabinet.	The person pulls lots of peel off the garlic.	
2037	2107	package	hand	garlic	net bag						He takes one clove of garlic and puts the rest of the bulb away. 													He gets a clove from the bunch. 
