187	268	open	hand		drawer																			
283	474	take out	hand	lid,pot	counter,drawer																			
480	561	remove lid	hand	lid	counter,pot	He took out pot							He took out two pots	He gets two pots out of the cupboard. 				He gets two pots.				The person takes two pots with lids from a cabinet and places them onto the stove.		
638	1306	fill	faucet	water	pot																			
1399	1450	move	hand	pot	,stove									He fills one pot with water.  	He gets two pots out and puts water in one.									
1455	1577	turn on	hand	stove		He put water in pot. He put pot on stove	He get a pot and fills in with water. 													He gets two pots and adds water to one.				
1589	1668	put lid	hand	lid	counter,pot	He turned on stove. He put lid on pot							He put water in pot. He turned on stove	He turns on the stovetop.			The person takes out a pair of metal pot from the drawer, fills one with water, and places them on the stove, turns the stove on, and covers the water filled pot with a lid.	He starts water boiling in one pot.					Add water to pot and place on stove, covered with lid.	The man fills one of two pots with water.
1740	1858	take out	hand	cutting board	counter,drawer	He took out cutting board	He turns on the stove and covers the pot. 	The person takes out two metal pots from a cabinet, fills one with water, puts it on the stove, turns on the stove, and then covers the water filled pot with a lid.	The person takes out two metal pots from a cabinet, fills one with water, puts it on the stove, turns on the stove, and then covers the water filled pot with a lid.	The person gets out two pots, fills one of the pots with water, puts them on the stove and turns it on.	The person takes out a pair of metal pot from the drawer, fills one with water, and places them on the stove, turns the stove on, and covers the water filled pot with a lid.. The person takes out a cutting board from the drawer.	The person takes out a pair of metal pot from the drawer, fills one with water, and places them on the stove, turns the stove on, and covers the water filled pot with a lid.	He put lid on pot. He took out cutting board			The person takes out a pair of metal pot from the drawer, fills one with water, and places them on the stove, turns the stove on, and covers the water filled pot with a lid.. The person takes out a cutting board from the drawer.	The person takes out a cutting board from the drawer.		The man adds water and heat to a pan.		The man adds water to a pot.	The person fills one pot with water, then returns it to the stove where he places a lid over it and turns on the stove.. The person takes a cutting board from the drawer.		
1878	2441	take out	hand	cauliflower	cutting board,fridge																			
2447	2562	take out	hand	knife	drawer	He took out cauliflower					The person procures a cauliflower from the fridge.	The person takes out a cutting board from the drawer, then procures a cauliflower from the fridge.	He took out cauliflower	He get a cauliflower out of the fridge.		The person procures a cauliflower from the fridge.	The person procures a cauliflower from the fridge.							
2570	2630	take apart	hand	leaves	cutting board														The man takes a cauliflower out of the refrigerator.			The person takes a cauliflower from the fridge and sets it on the cutting board.		
2664	2717	cut	knife	leaves	cutting board	He took out knife	He gets out the cauliflower, a cutting board, and a knife. 	The person takes out a cutting board from the drawer, a stalk of cauliflower from the fridge, and a knife from another drawer.	The person takes out a cutting board from the drawer, a stalk of cauliflower from the fridge, and a knife from another drawer.	The person gets out a cutting board, a cauliflower, and a knife.			He took out knife		He gets a knife, cutting board, and cauliflower.					He gets a cutting board, knife, and the cauliflower.				
2724	2752	cut	knife	leaves	cutting board																			
2822	2891	cut	knife	leaves	cutting board																			
2963	3026	cut	knife	leaves	cutting board		He removes the leaves from the cauliflower.																	
3132	3223	cut	knife	cauliflower	cutting board	He took off leaves							He cut off leaves					He gets the cauliflower and chops off its leaves. 						
3276	3369	cut	knife	cauliflower	cutting board																		Use knife to remove large leaves from cauliflower and cut in half.	
3440	3524	cut	knife	cauliflower	cutting board																			
3532	3581	cut	knife	cauliflower	cutting board													He cuts off the piece of cauliflower he needs.				The person gets a knife from a drawer and cuts away the leaves.		
3612	3632	take apart	knife	cauliflower	cutting board																			
