201	334	take out	hand	knife	counter,drawer				The person takes out a knife.				He took out knife	Get a plate, a small knife and a bowl.		He took out knife	He took out knife				
428	487	close	hand		drawer	The person gets out a knife.	The person gets out a knife.			The man takes out a knife.					Takes a knife out of the drawer.					The gentleman enters the kitchen and retrieves a knife from the drawer.	
501	609	take out	hand	cutting board	counter,drawer		The person gets out a wooden plate.		The person takes out a cutting board.				He took out cutting board		Takes out a cutting board.	He took out cutting board	He took out cutting board				
753	835	take out	hand	bowl	counter,drawer				The person takes out a bowl.		He gets out the equipment.		He took out bowl		Takes out a bowl.	He took out bowl	He took out bowl				Man collects a knife, cutting board, and a bowl.
880	954	close	hand		drawer	The person gets out a wooden plate and a bowl.	The person gets out a bowl.	He gets out the needed equipment. 		The man takes out a cutting board and bowl.	He gets an orange.			Get the orange out of the refridgerator				He opens drawers to take out a knife, a circular cutting board, and a metal bowl.		He then proceeds to get a cutting board and silver bowl from another drawer.	
1007	1473	take out	hand	orange	fridge	The person gets out an orange.	The person gets out an orange.	He gets an orange. 	The person takes out an orange.	The man takes the orange out of the refrigerator.		Take out a small knife, a cutting board, a bowl, and an orange.	He took out orange	Peel the orange	Takes an orange of the refrigerator.	He took out orange	He took out orange	He gets an orange from the refrigerator and goes back to the counter with it.		The man gets an orange from the refrigerator.	Man collects an orange from the refrigerator. 
1537	2613	peel	hand	orange				He peels the orange. 	The person uses his hands to peel the orange.	The man peels the orange with his finger.	He peels the orange.					He peeled orange	He peeled orange	He uses his fingers to rip off the peels of the orange.		He uses his fingers to peel the skin of the orange.	The man peels the orange with his fingers.
2669	2850	cut	knife	orange	cutting board																
2906	2980	cut	knife	orange	cutting board	The person peels the orange.	The person peels the orange.					Peel the orange with your hands, using the knife for any difficult spots.	He peeled orange		Peels the skin off the orange.			He uses a knife to cut off remaining areas which he does not want attached to the orange.		He takes a knife and cuts off the tip of the peeled orange, before cleaning up the scraps.	
3122	3179	throw in garbage	hand	peel																	
3301	3341	throw in garbage	hand	peel												He threw away peel	He threw out peels				Man finishes removing the peel with his knife and cleans up the unwanted pieces.
3412	3506	throw in garbage	hand	peel		The person throws away the orange peel.	The person throws away the peel.	He discards the peels. 			He discards the rind.		He threw away peel	Cut the bottom off the orange				He opens the drawer for the trash and throws away all remnants of the peel.			
3570	3657	take apart	hand	orange																He uses his hand and breaks the orange apart. 	
3699	3749	take apart	hand	orange																	
3777	3810	take apart	hand	orange																He then takes the two parts that he broke apart and breaks each one into two, so there are 4 halves. 	
3830	3864	take apart	hand	orange			The person breaks the orange into quarters.		The person separates the orange into quarters.		He separates the slices.			Tear the orange into quarters, disposing of the middle.		He broke up orange	He separated orange		He broke orange into parts		
3941	3995	throw in garbage	hand	orange		The person breaks the orange into quarters.						Discard the orange peel, separate the orange into four sections, removing and discarding the inner white part.	He broke orange into pieces 			He threw away seeds		He uses his fingers to tear the orange apart into several pieces and throws one pieces away into the trash.			Man separates pieces of fruit with his hands.
4099	4267	slice	hand	orange	cutting board																
4280	4545	chop	hand	orange	cutting board																
4551	4609	take apart	hand	orange																	
4650	4691	take apart	hand	orange																	
4731	4814	chop	knife	orange	cutting board																
4825	4857	take apart	hand	orange																	
4888	4934	chop	knife	orange	cutting board																
4979	5078	chop	knife	orange	cutting board																
5113	5179	take apart	hand	orange																	
5221	5375	chop	knife	orange	cutting board																
5450	5534	take apart	hand	orange																	
5549	5635	take apart	hand	orange																	
5662	5762	take apart	hand	orange																	
5791	5904	chop	knife	orange	cutting board																
5925	6027	chop	knife	orange	cutting board														He chopped up orange. He peeled orange. He threw away peel. He took out an orange. Took out bowl. Took out knife. Took out cutting board		
6042	6098	take apart	hand	orange																	
6126	6247	chop	knife	orange	cutting board															He then takes the knife and makes slices into the orange halves. 	
6305	6453	take apart	hand	orange																	
6477	6643	chop	knife	orange	cutting board																
6676	6848	chop	knife	orange	cutting board	The person cuts the orange into chunks.	The person cuts the orange quarters into pieces.		The person takes each quarter of orange and separates them into individual slices then chops each slice with-wise.	The man slices the orange and places it into the bowl.		Separate the orange into individual sections and cut all of these into small chunks.		Tear each quarter in half and cut the resulting eighths into three pieces.		He cut orange	He cut up orange	He uses the knife and his fingers to tear the pieces of oranges apart and then cut them into smaller pieces.			
