294	456	take out	hand	cutting board	counter,drawer					The person took out a cutting board.	He gets a cutting board.	He gets a cutting board.		He took out cutting board	He took out cutting board		He took out cutting board				The person gets a cutting board from the drawer.	
478	502	close	hand		drawer				The person gets out a cutting board.							The person gets out a cutting board.		He took out cutting board	The person takes a cutting board from a drawer.			
520	624	take out	hand	knife	cutting board,drawer				The person gets out a knife.	The person got out a knife.			He gets a cutting board and a knife. 	He took out knife	He took out knife			He took out knife				
624	662	close	hand		drawer						He gets a knife. 	He gets a knife.				The person gets out a knife.	He took out knife		The person gets a knife out.		The person gets a large knife from the drawer.	He gets out the hardware.
699	1005	take out	hand	plastic bag	counter,fridge		He gets out the broccoli and a knife and cutting board. 	He gets a knife and a cutting board.. He gets broccoli.	The person gets out a big stalk of broccoli.	The person got out some broccoli.	He gets the broccoli. 	He gets broccoli.	He gets the broccoli. 	He took out broccoli	He took out broccoli	The person gets out some broccoli.	He took out broccoli	He took out broccoli	The person takes the broccoli from the fridge.	The man takes out a knife and cutting board 	The person gets a stalk of broccoli from the crisper.	He gets the broccoli. 
1035	1326	take out	hand	plate	counter,cupboard	The person gets a cutting board, knife, plate, and the broccoli prepared on the counter.			The person gets out a plate.	The person got out a plate.				He took out plate	He took out plate	The person gets out a plate.	He took out dish	He took out plate	The person gets a plate from the cupboard.	The man takes out a large head of broccoli and a plate.	The person procures a plate from the cabinet.	
1441	1503	cut	knife	plastic bag								He gets a plate.										
1515	1655	remove from package	hand	broccoli	plastic bag															The man removes the wrapper from the broccoli.		
1671	1734	cut	knife	plastic bag																		
1756	2265	remove from package	hand	broccoli	plastic bag,plate	The person removes the plastic wrap from the broccoli.		He unwraps the broccoli.		The person took the broccoli out of the plastic wrap.		He unwraps the broccoli.										
2276	2425	throw in garbage	hand	plastic bag					The person removes the plastic wrap from the broccoli and throws it away.				He removes the broccoli from the wrap and puts it on a plate. 		He unwrapped broccoli		He threw out wrapping		The person cuts the plastic off of the broccoli and disposes of it in the trash.	The Man washes the broccoli.	The person cuts the plastic from off the broccoli stalk and throws it in the wastebin.	He opens the broccoli and throws away the wrapper. 
2563	2947	wash	hand	broccoli				He washes the broccoli.			He rinses the broccoli.			He washed broccoli		The person rinses the broccoli.		He washed broccoli			The person washes the broccoli in the sink.	
2947	3027	shake	hand	broccoli		The person washes the broccoli using the tap water from the sink, then shakes it dry.	He rinses the broccoli. 		The person rinses the broccoli.			He washes the broccoli.	He rinses the broccoli. 		He washed broccoli							He rinses the broccoli. 
3027	3077	move	hand	broccoli	,cutting board					The person rinsed off the broccoli.							He washed broccoli		The person rinses the broccoli in the sink.			
3096	3247	cut	knife	broccoli	cutting board	The person cuts off the end of the broccoli.			The person cuts off the stem of the broccoli.					He cut off bottom of broccoli				He cut off bottom of stem				
3276	3324	move	hand	broccoli	cutting board,plate										He chopped off broccoli stem							
3358	3450	cut	knife	broccoli	cutting board	The person cuts the broccoli in half from top to bottom.		He cuts the broccoli in half.									He cut broccoli in half	He cut broccoli in half			The person cuts the stem from the broccoli.	
3456	3509	cut	knife	broccoli	cutting board															The man removes the stem and cuts the broccoli into smaller parts		
3541	3659	cut	knife	broccoli	cutting board	The person cuts off the ends of the broccoli from each half.			The person begins cutting the broccoli into smaller stalks.							The person starts to chop up the broccoli.			The person chops the stalks off the broccoli.			
3694	3827	take out	hand	plate	cupboard							He cuts the broccoli in half.. He washes a plate.		He took out plate	He took out second plate			He took out another plate				
3848	4031	wash	hand	plate														He washed plate		The man pulls out and washes another plate.		
4043	4077	shake	hand	plate		The person gets another plate from the cabinet for the edible portion of the broccoli.			The person gets out a second plate and rinses it.					He washed plate	He washed plate	The person gets out and rinses another plate.	He took out 2nd plate		The person gets another plate from the cupboard and rinses it under the faucet.		The person gets a plate from the cabinet and rinses it in the sink.	
4163	4295	cut	knife	broccoli	cutting board																	
4299	4324	move	hand	broccoli	cutting board,plate							He starts cutting up the broccoli.								The man begins to cut the broccoli into bite size parts.		
4343	4783	cut	knife	broccoli	cutting board	The person begins to cut the broccoli into smaller portions.																
4792	4818	move	hand	broccoli	cutting board,plate																	
4827	5026	cut	knife	broccoli	cutting board																	
5037	5061	move	hand	broccoli	cutting board,plate																	
5077	5095	move	hand	broccoli	cutting board,plate																	
5133	5174	cut	knife	broccoli	cutting board																	
