246	947	take out	hand	net bag	counter,fridge	She took out orange	Get your oranges.	The person procures a bag of oranges from the fridge.	The person gets out a bag of oranges.	The person gets an orange from the refrigerator.	She took out oranges	She gets oranges.	She goes to the refrigerator and takes out a bag of oranges and places them on the counter.	The person gets out a bag of oranges.			She took out orange	The person gets out a bag of oranges.	The Woman opens the fridge door.. She removes some oranges from the fridge.. She closes the fridge door and walks to the counter.	She took out oranges
963	1248	take out	hand	knife		She took out knife	Grab a knife.		The person gets out a knife.		She took out knife			The person gets out a knife.	The person takes out a knife.	She takes out a bag of oranges and a knife.		The person gets out a knife.	The woman opens a drawer and removes a knife, then closes the drawer.	She took out knife
1318	1400	cut	knife	net bag	counter			The person takes out a knife from the drawer and cuts the bag open.												
1400	1507	remove from package	hand	orange	net bag								She goes to the drawer and takes out a knife and cuts the bag open.					The person opens the bag.		
1514	1543	move	hand	net bag	counter										The person takes out an orange.				She opens the package of oranges and removes one from the bag.	
1560	1648	wash	hand	orange		She washed orange				The person washes the orange in the sink.	She washed orange	She washes an orange.								She washed orange
1648	1704	shake	hand	hand			Wash your oranges first.	The person washes the orange in the sink.	The person takes one orange from the bag and rinses it.								She washed orange			
1704	1741	shake	hand	orange																
1771	1904	dry	towel	orange			Dry the oranges.				She dried orange		She takes out one orange and goes to the sink and washes and then dries the orange.	The person takes out one orange and rinses it.		She washes and dries one of the oranges.		The person takes out an orange and rinses it.	The women then washes and dries the orange.	
1972	2018	open	hand		cupboard															
2021	2246	take out	hand	plate	counter,cupboard	She took out plate		The person procures a plate from the cabinet.	The person gets out a plate.		She took out plate		She goes to the cupboard and takes out a plate and places it on the counter.	The person gets out a plate.	The person takes out a plate.	She takes out a plate.	She took out plate	The person gets out a plate.	She walks to a cupboard and opens the door and removes one plate, then closes the door.	She took out plate
2292	2489	cut	knife	orange															She brings the plate to the counter, picks up the knife and begins peeling the orange.	
2489	2595	take apart	hand	orange			Cut the top of the orange in a circle.													
2595	2636	cut	knife	orange																
2656	2746	peel	hand	orange			Peel off the top.					She cut off the end of the orange.				She cuts a circle in the top of the skin of the orange, and then removes the circle.				
2917	3717	cut	knife	orange												She slides the knife around the gap between skin and flesh of the orange.. She makes cuts along the orange forming wedges in the skin.				
3741	4658	peel	hand	orange			Slice the rest of the skin up and peel it off.			The person makes a cut in the peel of the orange and then takes the peel off the orange.	She peeled orange	She peels the skin of the orange.				She peels the wedges of skin from the orange.				
4664	5661	peel	knife	orange															When she finishes peeling the orange she spends time cutting away the pulp from the outer orange.	
5667	5799	peel	hand	orange				The person peels the orange with the knife.												
5799	5840	move	hand	peel	counter,plate	She peeled orange			The person peels the orange.	The person removes any excess skin off the orange using a knife.			She cuts and peels the orange with the knife.	The person peels the orange.	Using the knife for help, the person peels the orange.	Using the knife, she scrapes off much of the inner skin.	She peeled orange	The person peels the orange.		She peeled orange
5882	6090	take apart	hand	orange					The person breaks the orange in half.	The person pries the orange open using her fingers.		She splits the orange in half.		The person breaks the orange in half.			She broke orange in half	The person tears the orange in half.		
6130	6176	peel	hand	orange			Cut the orange in half.				She broke orange in half	She throws away the peel.	She then pries the orange apart into two pieces.						She breaks apart part of the orange and removes additional pulp with her hands.	She separated orange in half
6776	6922	throw in garbage	hand	peel		She threw away peel		The person throws the peels into the wastebin.	The person throws away the orange peel.		She threw away peels		She picks up the rinds and throws them away in the trash.	The person throws away the orange peel.		She throws away the skin of the orange.	She threw away peel	The person throws away the peel.	She picks up the peelings and throws it in the garbage.	She threw away peels
6979	7061	take apart	hand	orange																
7061	7124	take apart	hand	orange		She separated orange			The person breaks the orange in quarters.	The person discards the orange peels and opens the orange into fourths.	She separated orange		She picks up the orange again and pries it apart some more.	The person breaks the orange into quarters.	Using her hands, the person splits the orange into quarters.. The person is done.	She breaks the skinned orange into wedges.		The person tears the orange halves into quarters.	The woman finishes by breaking apart the rest of the orange.. The woman looks at her hands thinking her hands are sticky and needs to wash them.	
