199	446	take out	hand	potato	,cupboard	He took out potato. He took out bowl. He took out cutting board and knife	He gets the potatoes out of the cupboard.	He took out potato		The person takes a potato out of the cupboard.	He took out potato			Take out refrigerated potatoes		He took out potato. He took out knife. He took out bowl. He took out cutting board		He took out potato. He took out knife. He took out bowl. He took out cutting board	He took out potato. He took out knife. He took out bowl. He took out cutting board	He took out potato. He took out bowl . He took out cutting board	A man walks into the kitchen and pulls out a potato out of the cupboard and pulls a knife out the the silverware drawer.		Select two medium size potatoes.	
466	599	take out	hand	knife	,drawer	He washed potato	He gets the knife out of the drawer.	He took out knife			He took out knife					He washed potato		He washed potato	He washed potato	He washed potato	He then pulls out a cutting board and a metallic bowl from the cupboard. He then uses the bowl to gently was the potato. He dumps out the excess water and placed the potato on the cutting board.			
604	737	take out	hand	bowl,cutting board	counter,drawer		He gets the cutting board and bowl out of the cupboard.	He took out bowl. He took out cutting board	He gets out the needed items. 		He took out bowl. He took out cutting board	He gets the needed items.		Then take out a sharp knife, cutting board and bowl	He gets a potato, knife, cutting board, and metal bowl. 							The person gets a bowl, a cutting board, a sharp knife and two potatoes.		The man gathers his supplies.
754	782	add	hand	potato	bowl					The person takes a chopping board, a metal bowl and a knife out of the drawers.			He gets out some equipment and the potato.	Wash potatoes thoroughly									Take out a medium sized knife, a cutting board, and a medium bowl.	
800	966	wash	hand	potato	bowl			He washed potato			He washed potatoes		He rinses the potatoes.											The man washes the potato. 
966	1035	shake	hand	bowl,potato			He rinses the potatoes in the sink.		He rinses the potatoes.	The person washes the potato.		He rinses the potato.			He rinses the potato. 		The man takes out his supplies and washes a potato.						Place the potatoes in the bowl and wash them in the sink, then drain off the excess water.	
1061	1097	move	hand	potato	bowl,cutting board	He chopped potatoes								Cut in half, and then slice pieces as desired										
1153	1200	cut	knife	potato	cutting board			He cut potato in half														The person washes the potatoes and slices one in half.	Take one of the potatoes and cut it in half lengthwise on the cutting board.	
1226	1408	cut	knife	potato	cutting board	He diced potato. He put water in bowl										He diced potato		He diced potato	He diced potato	He diced first potato. He put potato in bowl. He washed potato	He then proceeded to cut the potato vertically in long slices, turned those slices and cut the potato again till only small pieces remained. He did this to the entire potato, he then grabbed the other potato out of the bowl and dumped the cut up pieces into the bowl. He then added some water to the bowl and placed it on the counter.			
1745	2172	chop	knife	potato	cutting board																			
2185	2213	scratch off	hand	potato	cutting board,knife			He diced potato														The person slices one half of the potatos into strips, then cross-cuts the strips to make small, square chunks.	Slice a potato half into thin slices lengthwise, then holding the slices together cut across the slices making small pieces.	
2305	2461	slice	knife	potato	cutting board																			
2506	2563	cut	knife	potato	cutting board																He then proceeds to do this with the other potato.			
2656	3060	chop	knife	potato	cutting board																			
3060	3155	chop	knife	potato	cutting board																			
3155	3188	scratch off	hand	potato	cutting board,knife						He chopped potatoes											The person repeats the previous step with the second half of a potato.		
3228	3258	move	hand	potato	,bowl																		Repeat this process for the other half of the first potato.	
3295	3374	add	knife	potato	bowl,cutting board									Once cut, put sliced potatoes in bowl and fill with water			The man slices the first potato.							The man slices the first potatoes into small pieces.
3423	3513	fill	faucet	water	,bowl																	The person puts the cut-up potato in a bowl and covers it with some water.	Remove the second potato from the bowl, put the cut potato in the bowl and add enough water to cover.	
3606	3659	cut	knife	potato	cutting board																			
3675	3705	cut	knife	potato	cutting board																			
3728	3748	cut	knife	potato	cutting board																			
3786	3811	move	hand	potato	bowl,cutting board																			
3825	3858	move	hand	potato	bowl,cutting board																			
3937	4157	slice	knife	potato	cutting board																			
4233	4598	slice	knife	potato	cutting board																After he finishes cutting up both potatoes, he washes off the cutting board and pulls out a pot and places it on the stove while turning on the stove to heat it up.			
4598	4956	chop	knife	potato	cutting board																			
4987	5051	add	knife	potato	bowl,cutting board																He dumps the potato cuttings into the pot and adds water till he is satisfied that it will be enough that the potatoes will not burn.			
5082	5123	move	hand	potato	bowl,cutting board																			
5130	5255	slice	knife	potato	cutting board																			
5292	5575	slice	knife	potato	cutting board																			
5575	5779	chop	knife	potato	cutting board																			
5802	5884	add	knife	potato	bowl,cutting board																			
5918	5986	move	hand	potato	bowl,cutting board																			
6006	6112	slice	knife	potato	cutting board																			
6161	6415	slice	knife	potato	cutting board																While leaving the potatoes to cook, he adds a lid to the pot to keep the heat from escaping and helping the potatoes cook faster. He washed off the knife and put it away. He then pulls a pan out of the cupboard and placed it on the stove.			
6415	6555	chop	knife	potato	cutting board																			
6577	6627	add	knife	potato	bowl,cutting board																			
6740	6809	move	hand	potato	bowl,cutting board																			
6859	7252	slice	knife	potato	cutting board																			
7271	7644	slice	knife	potato	cutting board																			
7667	8051	chop	knife	potato	cutting board																			
8068	8172	add	knife	potato	bowl,cutting board		He slices the potatoes into small pieces and soaks them in a bowl of water.		He chops the potatoes.			He chops the potato.	He chops the potatoes.				The man slices the second potato.				After the potatoes have heated up enough, he takes the pot off the stove and carefully dumps out the water. He then adds oil to the pan on the stove in a gracious amount. He then pours the potatoes into the pan.	The person repeats the previous three steps with the remaining potato.		The man slices the second potato into small slices.
8246	8300	wash	hand	cutting board																				
8300	8331	shake	hand	cutting board											He chops the potato and rinses the cutting board.									
8353	8394	scratch off	hand	potato	bowl,knife					The person chops the potato into small pieces and places them into a bowl of water.														
8488	8544	fill	faucet	water	,bowl								He adds water to the potatoes.	Put potatoes and water in a pot and begin to boil	He adds water to the bowl of potatoes.								Repeat the cutting process for the second potato.  Add to bowl and cover with additional water.	
8622	8785	take out	hand	pot	drawer,stove																			
8832	8895	turn on	hand	stove			He gets a pot out of the cupboard and puts it on the stove top. 																	
8895	9025	change temperature	hand	stove									He gets a pot out.											
9169	9274	add	bowl	potato	bowl,pot																			The man adds the potatoes and water into a heated pot.
