206	503	take out	hand	pomegranate	counter,fridge	The person gets out a pomegranate.			The person procures a pomegranate from the fridge.	The woman opens the refrigerator and removes a pomegranate.	She gets a pomegranate.	The person procures a pomegranate from the fridge.	She took out pomegranate	The person procures a pomegranate from the fridge.		The person gets out a pomegranate	She gets a pomegranate.	She gets out the fruit.	The person retrieves the pomegranate from the refrigerator.. The person places a cutting board onto the counter.	The woman removes a pomegranate from the refrigerator and places it on the counter.	She took out pomegranate. She took out cutting board	The person takes a pomegranate from the fridge.	Woman walks to fridge and opens fridge door.. Opens crisper and removes pomegranate, closes crisper and fridge door.. She walks to the counter and places the pomegranate on the counter.	The person takes out a pomegranate. 
513	624	take out	hand	cutting board	counter,drawer	The person gets out a cutting board.	Take out a pomegranate and a cutting board.	She gets out the pomegranate and a cutting board.	The person takes out a cutting board from the drawer.	She removes a cutting board from the drawer and places it on the counter.	She gets a cutting board out.	The person takes out a cutting board from the drawer.	She took out cutting board	The person takes out a cutting board from the drawer.	 She retrieves a pomegranate from the refrigerator and a cutting board from the drawer.	The person gets out a cutting board.			The person washes the pomegranate.. The person gets a plate to collect the seeds on.	She removes a cutting board from a drawer and places it on the counter.	She washed pomegranate. She took out plate	The person takes a cutting board from a drawer.	She opens the drawer and removes a cutting board.	The person takes out a cutting board.
654	1015	wash	hand	pomegranate				She rinses the pomegranate.			She rinses the pomegranate.		She washed pomegranate				She gets a cutting board and rinses the pomegranate.	She washes the fruit				The person washes the pomegranate.		
1023	1061	shake	hand	pomegranate		The person rinses the pomegranate.			The person washes the pomegranate in the sink.	She washes the pomegranate well and places it on the cutting board.		The person washes the pomegranate in the sink.		The person washes the pomegranate in the sink.					The person selects an appropriate knife.	She rinses the pomegranate off in the sink and places it on the cutting board.	She took out knife		Washes the pomegranate and places it on the cutting board.	
1097	1143	shake	hand	hand			Wash the pomegranate.								She throughly rinses off the pomegranate and places it on the cutting board.	The person rinses the pomegranate.			The person cuts the pomegranate in half.		She cut pomegranate in half			
1180	1404	take out	hand	plate	counter,cupboard	The person gets out a plate.			The person procures a plate from the cabinet.	She removes a plate from the cabinet and places it on the counter.		The person procures a plate from the cabinet.	She took out plate	The person procures a plate from the cabinet.	She retrieves a bowl from the cabinet.	The person gets out a plate.			The person cuts one of the halves into quarters.	She fetches a dish from the cupboard and places it on the counter.		The person gets a plate from the cupboard.	She walks to the cupboard, opens the door and removes a plate, then closes the door.. She brings the plate back and sets it on the counter.	The person takes out a plate.
1415	2036	take out	hand	knife	,drawer	The person gets out a knife.	Take out a small knife.	She gets out a knife and a plate. 	The person takes out a knife from the drawer.	She selects a knife from the drawer.	She gets a plate and knife.	The person takes out a knife from the drawer.	She took out knife	The person takes out a knife from the drawer.	She selects the proper knife from the drawer.	The person gets out a knife.	She gets a plate and knife.					The person takes a knife from the cutlery drawer.	The woman opens the drawer, looks around a bit removes a knife, then closes the drawer.	The person takes out a knife.
2056	2352	cut	knife	pomegranate	cutting board	The person cuts the pomegranate in half.	Cut the pomegranate in half through the middle, not at the ends.	She cuts the pomegranate in half. 	The person chops the pomegranate in half.	She cuts the pomegranate in half with the knife.		The person cuts the pomegranate in half.	She cut pomegranate in half	The person cuts the pomegranate in half.		The person cuts the pomegranate in half.		She cuts the fruit in half. 		She searches for a knife in the drawer, finds it, and chops the pomegranate in half with it.		The person cuts the pomegranate in half.	She cuts the pomegranate in half.	The person slices the pomegranate in half width-wise.
2429	2711	cut	knife	pomegranate	cutting board																			
2727	2784	take apart	hand	pomegranate		The person cuts one of the pomegranate halves in half.				She cuts one of the pomegranate pieces in half again.	She cuts the pomegranate.				She cuts the pomegranate into quarters.	The person cuts one of the pomegranate halves in half again.	She cuts the pomegranate.			She cuts one half in half again, and begins pulling seeds out of the resulting quarter into the dish.				The person cuts the pomegranate halves in half again.
2848	3217	take apart	hand	arils,peel	plate																			
3230	3261	take apart	hand	pomegranate																She breaks the quarter in half to make it easier to pull the seeds out.				
3279	4039	take apart	hand	arils,peel	plate																			
4054	4088	move	hand	peel	counter,plate																			
4094	4486	take apart	hand	arils,peel	plate																			
4492	4544	move	hand	peel	counter,plate																			
4546	4686	take apart	hand	arils,peel	plate																			
4712	5559	take apart	hand	arils,peel	plate																			
5581	5615	move	hand	arils	cutting board,plate																			
