220	544	take out	hand	cauliflower	counter,fridge			She gets out the cauliflower.			The person procures a cauliflower from the fridge.	She took out cauliflower	Cauliflower is removed from the refrigerator.	The person procures a cauliflower from the fridge.	She gets the cauliflower.			She took out cauliflower. She took out knife	The woman takes out a cauliflower.	She gets out the cauliflower. 	She took out cauliflower. She took out knife	A woman walks into the kitchen, opens the refrigerator and takes out cauliflower 	She took out cauliflower	
582	915	take out	hand	knife	drawer						The person takes out a knife from the drawer.	She took out knife		The person takes out a knife from the drawer.				She took out cutting board. She took out bowl		She gets out a knife, bowl, and cutting board.	She took out cutting board. She took out bowl		She took out knife	
959	1220	take out	hand	cutting board	counter,drawer									The person takes out a cutting board from the drawer.				She cut off leaves						
1260	1421	take out	hand	bowl	counter,drawer						The person takes out a cutting board from the drawer. 	She took out cutting board. She took out bowl			She gets a knife and cutting board.	She threw away leaves. She cut off leaves. She took out bowl. She took out cutting board. She took out knife. She took out cauliflower. She cut off end of cauliflower		She threw away leaves. She cut off bottom of cauliflower	The woman removes the outer leaves.	She cuts off the leaves and discards them.	She threw out leaves		She took out cutting board	
1589	1617	move	hand	cauliflower	counter,cutting board		The woman gathers the supplies.	She gets out the hardware. 	The person gets out a cauliflower, knife,  cutting board and bowl.		The person takes out a metal bowl from the drawer. 		The person removes a knife, a cutting board and a bowl. 	The person takes out a metal bowl from the drawer.	She gets a bowl.	She threw away end						She takes out a knife, cutting board, and a small bowl	She took out bowl	
1628	1690	cut	knife	leaves	cutting board	The woman pulls out a knife, cutting board and bowl.																		The woman gathers her supplies.
1738	1788	cut	knife	leaves	cutting board																			
1793	1845	cut	knife	leaves	cutting board																			
1877	1930	cut	knife	leaves	cutting board											She threw out scraps 			The woman removes the stem.					
1956	2013	cut	knife	leaves	cutting board													She threw out scraps						
2030	2105	cut	knife	leaves	cutting board																			
2140	2217	cut	knife	leaves	cutting board											She washed cauliflower	clean up cabbage	She washed cauliflower	The woman washes the cauliflower.	She rinses the cauliflower.				
2383	2467	throw in garbage	hand	leaves																			She cut away leaves	
2534	2563	throw in garbage	hand	leaves								She cut leaves off cauliflower												
2586	2662	move	hand	cauliflower	counter,cutting board							She threw away leaves											She threw away leaves	The woman removes the outer leaves.
2682	2738	cut	knife	stem	cutting board						The person cuts away the leaves from the cauliflower and throws them into the wastebin.			The person cuts the leaves from the cauliflower and throws them into the wastebin.	She trims the leaves and discards them.									
2772	2805	throw in garbage	hand	stem			The woman removes the outer leaves.	She removes and discards the cauliflower leaves. 					The cauliflower leaves are removed and discarded. 					She chopped cauliflower		She cuts the cauliflower into pieces. 				
2835	2889	take apart	knife	leaves	cutting board																			
2915	2953	take apart	knife	leaves	cutting board																		She chopped off stem	
2972	3028	take apart	knife	leaves	cutting board																		She threw away stem	She removes the stem.
3058	3100	take apart	knife	leaves	cutting board																			
3150	3192	take apart	knife	leaves	cutting board															She heats a pan on the stove.				
3225	3254	cut	knife	leaves	cutting board																			
3263	3320	cut	knife	leaves	cutting board																			
