s13-d21_1_1	He took out cutting board	s13-d21	252	452	cucumber	437
s13-d21_1_2	He took out knife	s13-d21	471	627	cucumber	637
s13-d21_1_3	He took out cucumber	s13-d21	627	975	cucumber	979
s13-d21_1_4	He took out plate	s13-d21	1004	1353	cucumber	1320
s13-d21_1_5	He washed cucumber	s13-d21	1366	1594	cucumber	1632
s13-d21_1_6	Cut off ends of cucumbers	s13-d21	1665	2036	cucumber	2055
s13-d21_1_7	He sliced cucumbers	s13-d21	2099	2523	cucumber	2560
s13-d21_1_8	He put cucumbers on plate	s13-d21	2618	2844	cucumber	2857
s13-d21_2_1	person takes chopping board out	s13-d21	252	452	cucumber	442
s13-d21_2_2	person removes knife from draw	s13-d21	471	627	cucumber	628
s13-d21_2_3	person removes cucumber out of refrigerator	s13-d21	627	975	cucumber	1060
s13-d21_2_4	person removes plate out of cabinet	s13-d21	1004	1353	cucumber	1358
s13-d21_2_5	person then washes cucumber	s13-d21	1366	1594	cucumber	1624
s13-d21_2_6	person then places cucumber on plate	s13-d21	1665	1813	cucumber	1830
s13-d21_2_7	perosn then cuts ends off cucumber	s13-d21	1854	2036	cucumber	2036
s13-d21_2_8	person then cuts cucumber in slices	s13-d21	2099	2523	cucumber	2564
s13-d21_2_9	person then places cucumber on plate.	s13-d21	2618	2717	cucumber	2806
s13-d21_4_1	The person gets out a cutting board.	s13-d21	252	452	cucumber	478
s13-d21_4_2	The person gets out a knife.	s13-d21	471	627	cucumber	642
s13-d21_4_3	The person gets out a cucumber.	s13-d21	627	975	cucumber	970
s13-d21_4_4	The person gets out a plate.	s13-d21	1004	1353	cucumber	1336
s13-d21_4_5	The person rinses the cucumber.	s13-d21	1366	1594	cucumber	1644
s13-d21_4_6	The person cuts the tips off the cucumber.	s13-d21	1665	2036	cucumber	2092
s13-d21_4_7	The person slices the cucumber and puts the slices on the plate.	s13-d21	2798	2844	cucumber	2850
s13-d21_5_1	The person gets out a cutting board.	s13-d21	252	452	cucumber	444
s13-d21_5_2	The person gets out a knife.	s13-d21	471	686	cucumber	660
s13-d21_5_3	The person gets out a cucumber.	s13-d21	723	975	cucumber	982
s13-d21_5_4	The person gets out a plate.	s13-d21	1004	1353	cucumber	1346
s13-d21_5_5	The person rinses the cucumber.	s13-d21	1366	1594	cucumber	1654
s13-d21_5_6	The person cuts off the tips  of the cucumber.	s13-d21	1665	2036	cucumber	2054
s13-d21_5_7	The person cuts up the cucumber.	s13-d21	2099	2523	cucumber	2594
s13-d21_5_8	The person puts the cucumber slices on the plate.	s13-d21	2618	2717	cucumber	2746
s13-d21_6_1	The person takes out a cutting board from the drawer.	s13-d21	252	452	cucumber	506
s13-d21_6_2	The person takes out a knife from the drawer.	s13-d21	471	686	cucumber	684
s13-d21_6_3	The person procures a cucumber from the fridge.	s13-d21	723	975	cucumber	956
s13-d21_6_4	The person procures a plate from the cabinet.	s13-d21	1004	1353	cucumber	1288
