s15-d22_1_1	The person walks to the refrigerator and gets out a carrot.	221	882	890
s15-d22_1_2	The person removes the equipment she needs from the drawers.	914	1521	1481
s15-d22_1_3	The person washes the carrot.	1521	1686	1726
s15-d22_1_4	The person removes more equipment from the drawer.	1732	1814	1903
s15-d22_1_5	The person peels and re-washes the carrot.	1856	3300	3296
s15-d22_1_6	The person chops the carrot.	3321	4522
s15-d22_1_7	The person moves the chopped carrot into a bowl.	3321	4522
s15-d22_1_8	The person finishes and sets down cutting board.	3321	4522
s15-d22_3_1	The person takes a carrot from the refrigerator.	221	700	705
s15-d22_3_2	The person takes a vegetable peeler and knife from the drawer.	709	1045	1047
s15-d22_3_3	The person puts a cutting board on the counter.	1045	1172	1171
s15-d22_3_4	The person puts a bowl on the counter.	1172	1264	1297
s15-d22_3_5	The person rinses the carrot with water.	1383	1554	1571
s15-d22_3_6	The person takes out a second bowl.	1575	1686	1711
s15-d22_3_7	The person chops off both ends of the carrot.	1732	1814	1825
s15-d22_3_8	The person begins peeling the carrot with the knife.	1856	2889	2931
s15-d22_3_9	The person rinses the carrot and knife with water.	2908	3062	3105
s15-d22_3_10	The person slices the carrot in half length-wise.	3107	3300	3327
s15-d22_3_11	The person chops the carrot into smaller pieces.	3321	4363	4369
s15-d22_3_12	The person puts the chopped carrot into a bowl.	4366	4522
s15-d22_3_13	The video ends.	4366	4522
s15-d22_4_1	She grabs a carrot.	221	700	709
s15-d22_4_2	She gets a peeler, knife, and a cutting board.	709	1172	1153
s15-d22_4_3	She rinses the carrot.	1172	1554	1595
s15-d22_4_4	She shaves the carrot.	1575	3036	2979
s15-d22_4_5	She cuts the carrot and puts it in a bowl.	3041	4522	4551
s15-d22_5_1	The person gets out a carrot.	221	700	687
s15-d22_5_2	The person gets out a vegetable peeler.	709	882	897
s15-d22_5_3	The person gets out a knife.	914	1004	1015
s15-d22_5_4	The person gets out a cutting board.	1004	1172	1151
s15-d22_5_5	The person gets out a bowl.	1172	1264	1283
s15-d22_5_6	The person rinses the carrot.	1383	1554	1561
s15-d22_5_7	The person gets out a second bowl.	1575	1686	1689
s15-d22_5_8	The person peels the carrot and puts the peel in one of the bowls.	1732	2889	2943
s15-d22_5_9	The person rinses the carrot again.	2908	3062	3081
s15-d22_5_10	The person chops up the carrot and puts the pieces in the other bowl.	3107	4522	4541
s15-d22_6_1	She grabs a carrot.	221	495	583
s15-d22_6_2	She gets a peeler and a knife.	495	1045	1037
s15-d22_6_3	She gets a cutting board.	1045	1172	1157
s15-d22_6_4	She gets a bowl.	1172	1264	1329
s15-d22_6_5	She rinses the carrot.	1383	1554	1553
s15-d22_6_6	She scrapes the carrot and rinses it.	1575	3062	3059
