257	431	take out	hand	cutting board	counter,drawer	s13-d45_1_1			s13-d45_5_1. s13-d45_5_2	s13-d45_6_1	s13-d45_7_1		s13-d45_9_1		s13-d45_12_1	s13-d45_13_1	s13-d45_14_1	s13-d45_15_1		s13-d45_20_1
431	470	close	hand		drawer							s13-d45_8_1								
479	609	take out	hand	knife	cutting board,drawer	s13-d45_1_2		s13-d45_3_1	s13-d45_5_3	s13-d45_6_2	s13-d45_7_2	s13-d45_8_2	s13-d45_9_2	s13-d45_10_1	s13-d45_12_2		s13-d45_14_2	s13-d45_15_2		s13-d45_20_2
711	999	take out	hand	plate	counter,cupboard	s13-d45_1_3	s13-d45_2_1		s13-d45_5_4	s13-d45_6_3		s13-d45_8_3	s13-d45_9_3	s13-d45_10_2	s13-d45_12_3	s13-d45_13_2	s13-d45_14_3	s13-d45_15_3		s13-d45_20_3
1026	1346	take out	hand	pepper	,cupboard	s13-d45_1_4					s13-d45_7_3		s13-d45_9_4		s13-d45_12_4	s13-d45_13_3	s13-d45_14_4	s13-d45_15_4	s13-d45_17_1	s13-d45_20_4
1392	1475	move	hand	plate	counter			s13-d45_3_2	s13-d45_5_5	s13-d45_6_4		s13-d45_8_4		s13-d45_10_3					s13-d45_17_2	
1601	1796	wash	hand	pepper			s13-d45_2_2								s13-d45_12_5					
1813	1977	take apart	hand	pepper		s13-d45_1_5	s13-d45_2_3								s13-d45_12_6				s13-d45_17_3	
1979	2055	wash	hand	pepper														s13-d45_15_5		s13-d45_20_5
2056	2171	throw in garbage	hand	pepper		s13-d45_1_6						s13-d45_8_5			s13-d45_12_7					
2188	2490	wash	hand	pepper									s13-d45_9_5		s13-d45_12_8	s13-d45_13_4	s13-d45_14_5	s13-d45_15_6	s13-d45_17_4	
2490	2544	shake	hand	pepper		s13-d45_1_7					s13-d45_7_4	s13-d45_8_6								s13-d45_20_6
2544	2582	move	hand	pepper	,cutting board			s13-d45_3_3	s13-d45_5_6	s13-d45_6_5				s13-d45_10_4	s13-d45_12_9					
2615	2729	dry	towel	hand		s13-d45_1_8	s13-d45_2_4						s13-d45_9_6	s13-d45_10_5	s13-d45_12_10. s13-d45_12_11		s13-d45_14_6			s13-d45_20_7
2893	3807	slice	knife	pepper	cutting board	s13-d45_1_9		s13-d45_3_4			s13-d45_7_5	s13-d45_8_7	s13-d45_9_7	s13-d45_10_6	s13-d45_12_12		s13-d45_14_7	s13-d45_15_7	s13-d45_17_5	s13-d45_20_8
3897	3954	move	hand	plate	counter															
3958	4051	move	hand,knife	pepper	cutting board,plate	s13-d45_1_10			s13-d45_5_7				s13-d45_9_8							
4125	4250	arrange	hand	pepper	plate		s13-d45_2_5	s13-d45_3_5	s13-d45_5_8	s13-d45_6_6	s13-d45_7_6	s13-d45_8_8		s13-d45_10_7	s13-d45_12_13. s13-d45_12_14	s13-d45_13_5	s13-d45_14_8	s13-d45_15_8	s13-d45_17_6	s13-d45_20_9
