192	282	take out	hand	cutting board	counter,drawer				s28-d39_4_1		s28-d39_6_1		s28-d39_8_1				s28-d39_12_1	s28-d39_13_1. s28-d39_13_2	s28-d39_14_1		s28-d39_16_1			s28-d39_19_1	
314	494	take out	hand	knife	cutting board,drawer	s28-d39_1_1	s28-d39_2_1		s28-d39_4_2		s28-d39_6_2		s28-d39_8_2	s28-d39_9_1	s28-d39_10_1	s28-d39_11_1	s28-d39_12_2	s28-d39_13_3	s28-d39_14_2		s28-d39_16_2			s28-d39_19_2	s28-d39_20_1
524	833	take out	hand	leek	cutting board,fridge	s28-d39_1_2	s28-d39_2_2		s28-d39_4_3		s28-d39_6_3	s28-d39_7_1	s28-d39_8_3	s28-d39_9_2	s28-d39_10_2		s28-d39_12_3	s28-d39_13_4	s28-d39_14_3		s28-d39_16_3		s28-d39_18_1	s28-d39_19_3	
970	1037	cut	knife	leek	cutting board																				
1053	1095	cut	knife	leek	cutting board																				
1136	1179	cut	knife	leek	cutting board					s28-d39_5_1														s28-d39_19_4	
1196	1250	move	hand	leek	counter,cutting board		s28-d39_2_3		s28-d39_4_4				s28-d39_8_4			s28-d39_11_2	s28-d39_12_4	s28-d39_13_5	s28-d39_14_4		s28-d39_16_4				
1298	1441	take apart	hand	leek							s28-d39_6_4												s28-d39_18_2		
1480	1622	cut	knife	leek	cutting board	s28-d39_1_3	s28-d39_2_4																		s28-d39_20_2. s28-d39_20_3
1729	2350	wash	hand	leek			s28-d39_2_5		s28-d39_4_5			s28-d39_7_2	s28-d39_8_5	s28-d39_9_3		s28-d39_11_3		s28-d39_13_6					s28-d39_18_3	s28-d39_19_5	
2356	2445	shake	hand	leek		s28-d39_1_4				s28-d39_5_2	s28-d39_6_5				s28-d39_10_3		s28-d39_12_5		s28-d39_14_5	s28-d39_15_1	s28-d39_16_5				
2532	2588	cut	knife	leek	cutting board		s28-d39_2_6			s28-d39_5_3			s28-d39_8_6									s28-d39_17_1. s28-d39_17_2. s28-d39_17_3. s28-d39_17_4. s28-d39_17_5. s28-d39_17_6			
2592	2620	move	hand	leek	counter,cutting board				s28-d39_4_6								s28-d39_12_6		s28-d39_14_6		s28-d39_16_6			s28-d39_19_6	
2879	3068	cut	knife	leek	cutting board					s28-d39_5_4															s28-d39_20_4
3099	3148	cut	knife	leek	cutting board																		s28-d39_18_4	s28-d39_19_7	
3230	3290	cut	knife	leek	cutting board				s28-d39_4_7	s28-d39_5_5															
3533	4649	slice	knife	leek	cutting board		s28-d39_2_7				s28-d39_6_6				s28-d39_10_4		s28-d39_12_7								
4673	4717	scratch off	hand	leek	cutting board,knife	s28-d39_1_5				s28-d39_5_6		s28-d39_7_3	s28-d39_8_7	s28-d39_9_4								s28-d39_17_7	s28-d39_18_5		
4721	4768	scratch off	knife	leek	cutting board,hand			s28-d39_3_1								s28-d39_11_4		s28-d39_13_7	s28-d39_14_7	s28-d39_15_2	s28-d39_16_7			s28-d39_19_8	s28-d39_20_5
5000	5141	take out	hand	pan	drawer,stove				s28-d39_4_8		s28-d39_6_7								s28-d39_14_8					s28-d39_19_9	
5191	5252	open	hand		cupboard																				
5553	5758	take out	hand	bottle	,cupboard																			s28-d39_19_10	
5771	5858	open	hand		fridge				s28-d39_4_9																
5955	6021	put in	hand	bottle	,cupboard																				
6051	6266	take out	hand	plastic box	,fridge				s28-d39_4_10										s28-d39_14_9					s28-d39_19_11	
6266	6335	remove lid	hand	lid	counter,plastic box						s28-d39_6_8														
6387	6512	cut	knife	butter	plastic box																				
6565	6585	add	knife	butter	,pan	s28-d39_1_6												s28-d39_13_8						s28-d39_19_12	
6630	6730	turn on	hand	stove					s28-d39_4_11			s28-d39_7_4													s28-d39_20_6
6730	6873	change temperature	hand	stove				s28-d39_3_2	s28-d39_4_12					s28-d39_9_5	s28-d39_10_5	s28-d39_11_5				s28-d39_15_3			s28-d39_18_6	s28-d39_19_13	
7044	7109	throw in garbage	hand	leek					s28-d39_4_13		s28-d39_6_9													s28-d39_19_14	
7188	7244	put lid	hand	lid	plastic box																				
7246	7622	put in	hand	plastic box	counter,fridge						s28-d39_6_10													s28-d39_19_15	s28-d39_20_7
7682	8087	take out	hand	spice shaker	counter,spice holder																				
8087	8165	move	hand	spice shaker	counter																		s28-d39_18_7		
8165	8581	spread	pan	butter	pan					s28-d39_5_7															
8839	9012	spread	pan	butter	pan																				
9108	9574	add	knife	leek	cutting board,pan	s28-d39_1_7	s28-d39_2_8	s28-d39_3_3		s28-d39_5_8	s28-d39_6_11	s28-d39_7_5		s28-d39_9_6	s28-d39_10_6	s28-d39_11_6		s28-d39_13_9		s28-d39_15_4			s28-d39_18_8		s28-d39_20_8
9849	9928	take out	hand	spatula	,drawer																				
9962	10698	stir	spatula	leek	pan																				
10698	10744	tap	spatula	pan				s28-d39_3_4															s28-d39_18_9		
11372	11404	take out	hand	spice shaker	spice holder																				
11404	11473	screw	hand	spice shaker																					
11479	11518	smell	hand	spice	spice shaker																				
11604	11657	screw	hand	spice shaker																					
11684	11720	screw	hand	spice shaker																					
11724	11755	smell	hand	spice	spice shaker																				
11762	11795	screw	hand	spice shaker																					
11840	12010	flip	pan	leek	pan																				
12102	12145	screw	hand	spice shaker						s28-d39_5_9															
12152	12297	spice	spice shaker	spice	pan																				
12301	12326	screw	hand	spice shaker																					
12340	12361	screw	hand	spice shaker																					
12361	12537	spice	spice shaker	spice	pan																				
12541	12582	screw	hand	spice shaker																					
12605	12620	screw	hand	spice shaker																					
12620	12780	spice	spice shaker	spice	pan																				
12783	12816	screw	hand	spice shaker		s28-d39_1_8		s28-d39_3_5						s28-d39_9_7		s28-d39_11_7							s28-d39_18_10		s28-d39_20_9
12902	13006	shake	hand	pan																					
13006	13159	flip	pan	leek	pan			s28-d39_3_6																	
13285	13385	change temperature	hand	stove																					
13414	13593	stir	spatula	leek	pan																				
13593	13621	tap	spatula	pan						s28-d39_5_10								s28-d39_13_10							
13643	13778	take out	hand	fork	cutting board,drawer																				
13823	14141	stir	spatula	leek	pan																				
14141	14165	tap	spatula	pan				s28-d39_3_7																	
14480	14553	taste	fork	leek																					
14678	14730	taste	fork	leek				s28-d39_3_8																	s28-d39_20_10
14797	15233	stir	spatula	leek	pan																				
15233	15301	tap	spatula	pan																					
15379	15405	screw	hand	spice shaker																					
15410	15499	spice	spice shaker	spice	pan																				
