273	428	take out	hand	cucumber	fridge	s21-d21_1_1			s21-d21_6_1		s21-d21_8_1	s21-d21_11_1	s21-d21_12_1		s21-d21_16_1		s21-d21_18_1. s21-d21_18_2	s21-d21_19_1	
457	592	wash	hand	cucumber		s21-d21_1_2	s21-d21_2_1	s21-d21_5_1	s21-d21_6_2		s21-d21_8_2	s21-d21_11_2	s21-d21_12_2	s21-d21_13_1	s21-d21_16_2	s21-d21_17_1	s21-d21_18_3	s21-d21_19_2	s21-d21_20_1
653	735	take out	hand	cutting board	counter,drawer	s21-d21_1_3					s21-d21_8_3								
735	786	close	hand		drawer				s21-d21_6_3				s21-d21_12_3		s21-d21_16_3		s21-d21_18_4	s21-d21_19_3	
786	875	take out	hand	knife	cutting board,drawer	s21-d21_1_4								s21-d21_13_2					
875	916	put in	hand	knife	cutting board,drawer														
916	951	take out	hand	knife	cutting board,drawer	s21-d21_1_5					s21-d21_8_4	s21-d21_11_3							
951	1007	close	hand		drawer			s21-d21_5_2	s21-d21_6_4				s21-d21_12_4				s21-d21_18_5. s21-d21_18_6	s21-d21_19_4	s21-d21_20_2
1047	1257	take out	hand	bowl	counter,cupboard	s21-d21_1_6		s21-d21_5_3	s21-d21_6_5		s21-d21_8_5	s21-d21_11_4	s21-d21_12_5		s21-d21_16_4	s21-d21_17_2	s21-d21_18_7. s21-d21_18_8	s21-d21_19_5	
1330	1467	take out	hand	peeler	drawer	s21-d21_1_7	s21-d21_2_2		s21-d21_6_6	s21-d21_7_1	s21-d21_8_6		s21-d21_12_6				s21-d21_18_9	s21-d21_19_6	s21-d21_20_3
1488	2646	peel	peeler	cucumber		s21-d21_1_8		s21-d21_5_4	s21-d21_6_7		s21-d21_8_7	s21-d21_11_5	s21-d21_12_7	s21-d21_13_3	s21-d21_16_5	s21-d21_17_3		s21-d21_19_7	s21-d21_20_4
2827	2925	throw in garbage	hand	peel		s21-d21_1_9	s21-d21_2_3	s21-d21_5_5	s21-d21_6_8	s21-d21_7_2	s21-d21_8_8	s21-d21_11_6	s21-d21_12_8	s21-d21_13_4	s21-d21_16_6	s21-d21_17_4	s21-d21_18_10	s21-d21_19_8	
3046	3089	cut	knife	cucumber	cutting board											s21-d21_17_5			s21-d21_20_5
3103	3216	cut	knife	cucumber	cutting board					s21-d21_7_3									
3226	3526	chop	knife	cucumber	cutting board														s21-d21_20_6
3551	3669	cut	knife	cucumber	cutting board														
3677	3764	cut	knife	cucumber	cutting board									s21-d21_13_5					
3778	3979	chop	knife	cucumber	cutting board								s21-d21_12_9						
3990	4019	move	hand	cucumber	counter,cutting board	s21-d21_1_10		s21-d21_5_6	s21-d21_6_9	s21-d21_7_4	s21-d21_8_9			s21-d21_13_6	s21-d21_16_7	s21-d21_17_6			s21-d21_20_7
4059	4227	add	hand	cucumber	bowl,cutting board		s21-d21_2_4		s21-d21_6_10		s21-d21_8_10	s21-d21_11_7	s21-d21_12_10	s21-d21_13_7	s21-d21_16_8	s21-d21_17_7	s21-d21_18_11	s21-d21_19_9	s21-d21_20_8
4324	4386	throw in garbage	hand	garbage			s21-d21_2_5	s21-d21_5_7	s21-d21_6_11	s21-d21_7_5	s21-d21_8_11						s21-d21_18_12		
