224	358	take out	hand	pan	drawer,stove	s17-d69_1_1	s17-d69_2_1			s17-d69_7_1	s17-d69_8_1	s17-d69_9_1	s17-d69_10_1		s17-d69_12_1	s17-d69_13_1		s17-d69_16_1. s17-d69_16_2	s17-d69_17_1	s17-d69_19_1
418	732	take out	hand	egg	counter,fridge	s17-d69_1_2	s17-d69_2_2	s17-d69_4_1			s17-d69_8_2	s17-d69_9_2	s17-d69_10_2	s17-d69_11_1		s17-d69_13_2		s17-d69_16_3	s17-d69_17_2	s17-d69_19_2
841	1014	take out	hand	cup	counter,cupboard	s17-d69_1_3					s17-d69_8_3	s17-d69_9_3	s17-d69_10_3						s17-d69_17_3	s17-d69_19_3
1016	1210	take out	hand	fork	counter,drawer	s17-d69_1_4	s17-d69_2_3	s17-d69_4_2	s17-d69_5_1	s17-d69_7_2		s17-d69_9_4	s17-d69_10_4	s17-d69_11_2	s17-d69_12_2	s17-d69_13_3	s17-d69_14_1		s17-d69_17_4	s17-d69_19_4
1237	1350	open egg	cup,hand	egg	cup															
1350	1428	shake	hand	eggshell		s17-d69_1_5				s17-d69_7_3	s17-d69_8_4	s17-d69_9_5	s17-d69_10_5						s17-d69_17_5	s17-d69_19_5
1480	1554	throw in garbage	hand	eggshell								s17-d69_9_6		s17-d69_11_3		s17-d69_13_4	s17-d69_14_2	s17-d69_16_4	s17-d69_17_6	
1627	1662	take out	hand	spice shaker	spice holder			s17-d69_4_3												
1670	1722	screw	hand	spice shaker																
1729	1904	spice	spice shaker	salt	cup	s17-d69_1_6												s17-d69_16_5	s17-d69_17_7	
1921	1959	screw	hand	spice shaker																
1971	2022	put in	hand	spice shaker	,spice holder			s17-d69_4_4												
2037	2085	take out	hand	spice shaker	spice holder															
2099	2116	screw	hand	spice shaker											s17-d69_12_3					
2128	2188	spice	spice shaker	pepper	cup					s17-d69_7_4	s17-d69_8_5		s17-d69_10_6	s17-d69_11_4		s17-d69_13_5			s17-d69_17_8	
2202	2262	screw	hand	spice shaker				s17-d69_4_5									s17-d69_14_3			
2270	2303	put in	hand	spice shaker	,spice holder		s17-d69_2_4								s17-d69_12_4			s17-d69_16_6		s17-d69_19_6
2374	2939	stir	fork	egg	cup	s17-d69_1_7	s17-d69_2_5	s17-d69_4_6	s17-d69_5_2	s17-d69_7_5		s17-d69_9_7	s17-d69_10_7	s17-d69_11_5		s17-d69_13_6	s17-d69_14_4		s17-d69_17_9	s17-d69_19_7
3044	3189	wash	hand	hand		s17-d69_1_8												s17-d69_16_7	s17-d69_17_10	
3217	3290	dry	towel	hand																
3290	3353	hang up	hand	towel	,handle															
3410	3526	turn on	hand	stove																
3526	3603	change temperature	hand	stove		s17-d69_1_9			s17-d69_5_3		s17-d69_8_6	s17-d69_9_8				s17-d69_13_7	s17-d69_14_5	s17-d69_16_8	s17-d69_17_11	s17-d69_19_8
3673	3873	take out	hand	bottle	cupboard													s17-d69_16_9	s17-d69_17_12	
3911	3981	screw	hand	bottle											s17-d69_12_5					
3990	4045	pour	bottle	oil	pan	s17-d69_1_10			s17-d69_5_4											
4099	4158	pour	bottle	oil	pan					s17-d69_7_6			s17-d69_10_8							
4182	4268	screw	hand	bottle							s17-d69_8_7			s17-d69_11_6		s17-d69_13_8	s17-d69_14_6	s17-d69_16_10	s17-d69_17_13	
4303	4392	put in	hand	bottle	,cupboard		s17-d69_2_6	s17-d69_4_7				s17-d69_9_9							s17-d69_17_14	s17-d69_19_9
4444	4592	spread	pan	oil	pan	s17-d69_1_11												s17-d69_16_11		
4759	4864	stir	fork	egg	cup													s17-d69_16_12		
4990	5313	stir	fork	egg	cup			s17-d69_4_8							s17-d69_12_6	s17-d69_13_9				
5401	5766	add	cup,fork	egg	cup,pan	s17-d69_1_12		s17-d69_4_9	s17-d69_5_5	s17-d69_7_7	s17-d69_8_8	s17-d69_9_10	s17-d69_10_9			s17-d69_13_10	s17-d69_14_7		s17-d69_17_15	s17-d69_19_10
5822	5919	move	hand	cup	,sink		s17-d69_2_7											s17-d69_16_13		s17-d69_19_11
6001	6064	change temperature	hand	stove										s17-d69_11_7	s17-d69_12_7			s17-d69_16_14		
6909	7041	take out	hand	spatula	,drawer							s17-d69_9_11					s17-d69_14_8			s17-d69_19_12
7525	7550	move	hand	spatula	,counter															
7600	7809	take out	hand	bowl	counter,cupboard		s17-d69_2_8				s17-d69_8_9									
7822	8105	strew	hand	parsley	bowl,pan										s17-d69_12_8					s17-d69_19_13
8109	8226	strew	hand	parsley	bowl,pan			s17-d69_4_10	s17-d69_5_6	s17-d69_7_8	s17-d69_8_10		s17-d69_10_10			s17-d69_13_11	s17-d69_14_9			
8237	8403	put in	hand	bowl	counter,cupboard		s17-d69_2_9					s17-d69_9_12		s17-d69_11_8						
8507	8650	move	spatula	parsley	pan															
9108	9142	move	hand	spatula	,counter															
9192	9439	take out	hand	plate	counter,cupboard		s17-d69_2_10				s17-d69_8_11	s17-d69_9_13	s17-d69_10_11			s17-d69_13_12				s17-d69_19_14
9657	9888	take out	hand	fork,knife	counter,drawer			s17-d69_4_11				s17-d69_9_14					s17-d69_14_10			
11674	11738	change temperature	hand	stove													s17-d69_14_11			
11912	12170	move	pan,spatula	egg	pan,plate				s17-d69_5_7					s17-d69_11_9	s17-d69_12_9	s17-d69_13_13				
12170	12228	move	hand	pan	,stove			s17-d69_4_12		s17-d69_7_9	s17-d69_8_12	s17-d69_9_15	s17-d69_10_12. s17-d69_10_13				s17-d69_14_12			s17-d69_19_15
12308	12348	move	hand	fork	counter															
12362	12398	move	hand	knife	counter		s17-d69_2_11													
