220	544	take out	hand	cauliflower	counter,fridge			s15-d26_4_1			s15-d26_7_1	s15-d26_8_1	s15-d26_9_1	s15-d26_10_1	s15-d26_11_1			s15-d26_14_1. s15-d26_14_2	s15-d26_15_1	s15-d26_16_1	s15-d26_17_1. s15-d26_17_2	s15-d26_18_1	s15-d26_19_1	
582	915	take out	hand	knife	drawer						s15-d26_7_2	s15-d26_8_2		s15-d26_10_2				s15-d26_14_3. s15-d26_14_4		s15-d26_16_2	s15-d26_17_3. s15-d26_17_4		s15-d26_19_2	
959	1220	take out	hand	cutting board	counter,drawer									s15-d26_10_3				s15-d26_14_5						
1260	1421	take out	hand	bowl	counter,drawer						s15-d26_7_3	s15-d26_8_3. s15-d26_8_4			s15-d26_11_2	s15-d26_12_1. s15-d26_12_2. s15-d26_12_3. s15-d26_12_4. s15-d26_12_5. s15-d26_12_6. s15-d26_12_7		s15-d26_14_6. s15-d26_14_7	s15-d26_15_2	s15-d26_16_3	s15-d26_17_5		s15-d26_19_3	
1589	1617	move	hand	cauliflower	counter,cutting board		s15-d26_3_1	s15-d26_4_2	s15-d26_5_1		s15-d26_7_4		s15-d26_9_2	s15-d26_10_4	s15-d26_11_3	s15-d26_12_8						s15-d26_18_2	s15-d26_19_4	
1628	1690	cut	knife	leaves	cutting board	s15-d26_2_1																		s15-d26_20_1
1738	1788	cut	knife	leaves	cutting board																			
1793	1845	cut	knife	leaves	cutting board																			
1877	1930	cut	knife	leaves	cutting board											s15-d26_12_9			s15-d26_15_3					
1956	2013	cut	knife	leaves	cutting board													s15-d26_14_8						
2030	2105	cut	knife	leaves	cutting board																			
2140	2217	cut	knife	leaves	cutting board											s15-d26_12_10	s15-d26_13_1	s15-d26_14_9	s15-d26_15_4	s15-d26_16_4				
2383	2467	throw in garbage	hand	leaves																			s15-d26_19_5	
2534	2563	throw in garbage	hand	leaves								s15-d26_8_5												
2586	2662	move	hand	cauliflower	counter,cutting board							s15-d26_8_6											s15-d26_19_6	s15-d26_20_2
2682	2738	cut	knife	stem	cutting board						s15-d26_7_5			s15-d26_10_5	s15-d26_11_4									
2772	2805	throw in garbage	hand	stem			s15-d26_3_2	s15-d26_4_3					s15-d26_9_3					s15-d26_14_10		s15-d26_16_5				
2835	2889	take apart	knife	leaves	cutting board																			
2915	2953	take apart	knife	leaves	cutting board																		s15-d26_19_7	
2972	3028	take apart	knife	leaves	cutting board																		s15-d26_19_8	s15-d26_20_3
3058	3100	take apart	knife	leaves	cutting board																			
3150	3192	take apart	knife	leaves	cutting board															s15-d26_16_6				
3225	3254	cut	knife	leaves	cutting board																			
3263	3320	cut	knife	leaves	cutting board																			
3343	3385	move	hand	cauliflower	counter,cutting board																			
3457	3517	throw in garbage	cutting board,knife	leaves						s15-d26_6_1												s15-d26_18_3		
3677	3732	turn over	hand	cutting board	counter	s15-d26_2_2	s15-d26_3_3				s15-d26_7_6		s15-d26_9_4											
3803	3830	throw in garbage	hand	garbage					s15-d26_5_2															
3847	4144	wash	hand	cauliflower																				
4146	4188	shake	hand	hand																				
4212	4248	close	hand		drawer																			
4249	4333	dry	towel	hand		s15-d26_2_3	s15-d26_3_4	s15-d26_4_4		s15-d26_6_2	s15-d26_7_7	s15-d26_8_7	s15-d26_9_5	s15-d26_10_6	s15-d26_11_5							s15-d26_18_4	s15-d26_19_9	s15-d26_20_4
4570	4925	cut	knife	cauliflower	cutting board																			
4928	5094	cut	knife	cauliflower	cutting board																			
5103	5166	cut	knife	cauliflower	cutting board																			
5199	5240	throw in garbage	hand	stem													s15-d26_13_2			s15-d26_16_7				
5353	5473	take out	hand	pan	counter,drawer							s15-d26_8_8	s15-d26_9_6	s15-d26_10_7									s15-d26_19_10	
5485	5559	turn on	hand	stove					s15-d26_5_3															
5635	5748	change temperature	hand	stove																			s15-d26_19_11	
5783	5849	change temperature	hand	stove																				
5880	5922	move	hand	pan	counter,stove														s15-d26_15_5					
6012	6047	move	hand	bowl,cutting board	counter		s15-d26_3_5		s15-d26_5_4		s15-d26_7_8		s15-d26_9_7	s15-d26_10_8	s15-d26_11_6								s15-d26_19_12	s15-d26_20_5
6074	6459	cut	knife	cauliflower	cutting board												s15-d26_13_3							
6468	6522	move	hand	stem	counter,cutting board																			
6546	6589	cut	knife	cauliflower	cutting board																			
6596	6666	take apart	hand	cauliflower																				
6708	6741	cut	knife	cauliflower	cutting board																			
6801	6891	take out	hand	bowl	counter,drawer																			
6899	6918	add	hand	stem	,bowl																			
6972	7002	cut	knife	cauliflower	cutting board																			
7007	7026	add	hand	stem	,bowl																			
7041	7058	take apart	hand	cauliflower																				
7066	7093	add	hand	cauliflower	,bowl															s15-d26_16_8			s15-d26_19_13	
7108	7124	add	hand	cauliflower	bowl,cutting board				s15-d26_5_5															
7182	7323	add	hand	cauliflower	bowl,cutting board														s15-d26_15_6					
