237	262	wash	hand	hand																					
262	294	shake	hand	hand			s36-d23_2_1	s36-d23_3_1	s36-d23_4_1			s36-d23_7_1		s36-d23_9_1					s36-d23_14_1	s36-d23_15_1				s36-d23_19_1	
337	592	take out	hand	carrot	,fridge			s36-d23_3_2	s36-d23_4_2		s36-d23_6_1	s36-d23_7_2	s36-d23_8_1	s36-d23_9_2	s36-d23_10_1		s36-d23_12_1	s36-d23_13_1	s36-d23_14_2	s36-d23_15_2		s36-d23_17_1	s36-d23_18_1	s36-d23_19_2	
628	761	take out	hand	bowl	counter,drawer			s36-d23_3_3	s36-d23_4_3			s36-d23_7_3				s36-d23_11_1			s36-d23_14_3	s36-d23_15_3				s36-d23_19_3	
790	844	take out	hand	cutting board	counter,drawer		s36-d23_2_2	s36-d23_3_4	s36-d23_4_4		s36-d23_6_2	s36-d23_7_4	s36-d23_8_2	s36-d23_9_3	s36-d23_10_2		s36-d23_12_2	s36-d23_13_2	s36-d23_14_4	s36-d23_15_4	s36-d23_16_1	s36-d23_17_2	s36-d23_18_2	s36-d23_19_4	s36-d23_20_1
896	1137	wash	hand	carrot								s36-d23_7_5		s36-d23_9_4							s36-d23_16_2	s36-d23_17_3			
1145	1212	shake	hand	carrot			s36-d23_2_3	s36-d23_3_5	s36-d23_4_5				s36-d23_8_3		s36-d23_10_3		s36-d23_12_3	s36-d23_13_3		s36-d23_15_5				s36-d23_19_5	s36-d23_20_2
1330	1388	close	hand		drawer											s36-d23_11_2									
1431	1647	take out	hand	knife	,drawer			s36-d23_3_6	s36-d23_4_6		s36-d23_6_3	s36-d23_7_6								s36-d23_15_6			s36-d23_18_3		
1647	1669	move	hand	cutting board	counter					s36-d23_5_1			s36-d23_8_4	s36-d23_9_5	s36-d23_10_4									s36-d23_19_6	
1673	1705	move	hand	carrot	bowl,cutting board											s36-d23_11_3									
1736	1818	cut	knife	carrot	cutting board																				
1919	3395	slice	knife	carrot	cutting board							s36-d23_7_7								s36-d23_15_7					
3423	3516	chop	knife	carrot	cutting board														s36-d23_14_5						
3586	3643	chop	knife	carrot	cutting board																				
3976	4072	chop	knife	carrot	cutting board																				
4117	4316	chop	knife	carrot	cutting board									s36-d23_9_6					s36-d23_14_6			s36-d23_17_4		s36-d23_19_7	
4411	4587	add	knife	carrot	bowl,cutting board			s36-d23_3_7								s36-d23_11_4									
4716	4754	move	hand	carrot	bowl,cutting board		s36-d23_2_4									s36-d23_11_5			s36-d23_14_7						s36-d23_20_3
4762	4841	cut	knife	carrot	cutting board														s36-d23_14_8						
4971	5387	slice	knife	carrot	cutting board																				
5407	5590	chop	knife	carrot	cutting board																				
5618	5920	slice	knife	carrot	cutting board																				
5942	6121	chop	knife	carrot	cutting board																				
6157	6351	slice	knife	carrot	cutting board														s36-d23_14_9						
6378	6483	cut	knife	carrot	cutting board			s36-d23_3_8						s36-d23_9_7								s36-d23_17_5		s36-d23_19_8	
6514	6643	add	knife	carrot	bowl,cutting board		s36-d23_2_5		s36-d23_4_7	s36-d23_5_2	s36-d23_6_4		s36-d23_8_5		s36-d23_10_5		s36-d23_12_4	s36-d23_13_4			s36-d23_16_3		s36-d23_18_4		
6661	6765	wash	hand	cutting board,knife																					s36-d23_20_4
6776	6824	shake	hand	cutting board,knife																					
6878	6915	shake	hand	knife				s36-d23_3_9					s36-d23_8_6			s36-d23_11_6									
6936	7010	put in	hand	knife	,drawer		s36-d23_2_6						s36-d23_8_7	s36-d23_9_8		s36-d23_11_7									
7070	7111	open	hand		drawer																				
7111	7179	turn on	hand	stove																					
7191	7240	change temperature	hand	stove																					
7240	7265	turn on	hand	stove																					
7265	7315	change temperature	hand	stove							s36-d23_6_5						s36-d23_12_5								
7320	7448	take out	hand	pan	drawer,stove		s36-d23_2_7			s36-d23_5_3	s36-d23_6_6		s36-d23_8_8	s36-d23_9_9			s36-d23_12_6	s36-d23_13_5					s36-d23_18_5		s36-d23_20_5
7502	7732	take out	hand	bottle	counter,cupboard	s36-d23_1_1							s36-d23_8_9			s36-d23_11_8							s36-d23_18_6		
7882	8123	take out	hand	spatula	cutting board,drawer	s36-d23_1_2. s36-d23_1_3. s36-d23_1_4. s36-d23_1_5. s36-d23_1_6. s36-d23_1_7. s36-d23_1_8. s36-d23_1_9. s36-d23_1_10. s36-d23_1_11. s36-d23_1_12. s36-d23_1_13. s36-d23_1_14. s36-d23_1_15							s36-d23_8_10						s36-d23_14_10						
8171	8222	screw	hand	bottle																					
