232	402	take out	hand	avocado	,fridge	s21-d53_1_1	s21-d53_2_1	s21-d53_3_1	s21-d53_4_1	s21-d53_5_1	s21-d53_6_1	s21-d53_7_1. s21-d53_7_2. s21-d53_7_3	s21-d53_8_1	s21-d53_9_1	s21-d53_10_1		s21-d53_12_1. s21-d53_12_2	s21-d53_13_1
475	624	cut	knife	avocado	cutting board								s21-d53_8_2					
634	676	take apart	hand	avocado		s21-d53_1_2			s21-d53_4_2									
705	798	cut	knife	avocado	cutting board													
808	858	take apart	hand	avocado,stone														
858	916	cut	knife	avocado	cutting board													
933	988	cut	knife	avocado	cutting board					s21-d53_5_2	s21-d53_6_2	s21-d53_7_4		s21-d53_9_2		s21-d53_11_1	s21-d53_12_3	s21-d53_13_2
1055	1210	take out	hand	plate	counter,cupboard	s21-d53_1_3	s21-d53_2_2	s21-d53_3_2	s21-d53_4_3	s21-d53_5_3	s21-d53_6_3	s21-d53_7_5	s21-d53_8_3	s21-d53_9_3	s21-d53_10_2			
1242	1770	peel	knife	avocado														
1783	1806	scratch off	hand	peel	cutting board,knife				s21-d53_4_4						s21-d53_10_3	s21-d53_11_2		
1853	1918	cut	knife	avocado	cutting board													
1925	2007	take apart	hand	avocado,stone	cutting board													
2038	2901	peel	knife	avocado						s21-d53_5_4							s21-d53_12_4	s21-d53_13_3
2941	2988	cut	knife	avocado	,plate	s21-d53_1_4							s21-d53_8_4	s21-d53_9_4	s21-d53_10_4			
3018	3112	wash	hand	hand		s21-d53_1_5			s21-d53_4_5	s21-d53_5_5	s21-d53_6_4	s21-d53_7_6. s21-d53_7_7	s21-d53_8_5	s21-d53_9_5		s21-d53_11_3	s21-d53_12_5	
3126	3238	slice	knife	avocado	,plate													
3238	3332	chop	knife	avocado	,plate													
3332	3403	chop	knife	avocado	,plate													
3403	3515	chop	knife	avocado	,plate													
3515	3651	slice	knife	avocado	,plate													
3651	3779	chop	knife	avocado	,plate													
3779	3852	chop	knife	avocado	,plate													
3852	3946	chop	knife	avocado	,plate				s21-d53_4_6	s21-d53_5_6		s21-d53_7_8					s21-d53_12_6	
3988	4146	throw in garbage	hand	peel,stone				s21-d53_3_3	s21-d53_4_7						s21-d53_10_5	s21-d53_11_4		
4161	4240	throw in garbage	hand	peel									s21-d53_8_6					
4257	4416	throw in garbage	hand	peel		s21-d53_1_6	s21-d53_2_3			s21-d53_5_7	s21-d53_6_5	s21-d53_7_9		s21-d53_9_6		s21-d53_11_5	s21-d53_12_7	s21-d53_13_4
4479	4605	wash	hand	hand			s21-d53_2_4	s21-d53_3_4	s21-d53_4_8		s21-d53_6_6	s21-d53_7_10	s21-d53_8_7					
4610	4674	shake	hand	hand			s21-d53_2_5	s21-d53_3_5		s21-d53_5_8					s21-d53_10_6		s21-d53_12_8	s21-d53_13_5
