270	452	take out	hand	plum	fridge	s21-d35_2_1	s21-d35_3_1	s21-d35_4_1	s21-d35_6_1	s21-d35_7_1	s21-d35_9_1		s21-d35_13_1	s21-d35_14_1	s21-d35_15_1	s21-d35_16_1	s21-d35_17_1	s21-d35_18_1	s21-d35_19_1	s21-d35_20_1
491	603	wash	hand	plum		s21-d35_2_2	s21-d35_3_2	s21-d35_4_2	s21-d35_6_2	s21-d35_7_2	s21-d35_9_2	s21-d35_10_1	s21-d35_13_2	s21-d35_14_2	s21-d35_15_2		s21-d35_17_2	s21-d35_18_2	s21-d35_19_2	s21-d35_20_2
647	741	take out	hand	knife	drawer	s21-d35_2_3	s21-d35_3_3	s21-d35_4_3	s21-d35_6_3	s21-d35_7_3	s21-d35_9_3		s21-d35_13_3		s21-d35_15_3	s21-d35_16_2	s21-d35_17_3	s21-d35_18_3	s21-d35_19_3	s21-d35_20_3
824	1007	take out	hand	bowl	counter,drawer	s21-d35_2_4	s21-d35_3_4	s21-d35_4_4	s21-d35_6_4		s21-d35_9_4	s21-d35_10_2	s21-d35_13_4	s21-d35_14_3	s21-d35_15_4	s21-d35_16_3	s21-d35_17_4	s21-d35_18_4	s21-d35_19_4	s21-d35_20_4
1031	1117	cut	knife	plum							s21-d35_9_5								s21-d35_19_5	
1117	1191	take apart	hand	plum	,plate							s21-d35_10_3	s21-d35_13_5	s21-d35_14_4					s21-d35_19_6	s21-d35_20_5
1193	1258	cut	knife	plum																
1258	1360	take apart	hand	plum															s21-d35_19_7. s21-d35_19_8	
1360	1586	cut	knife	plum	,plate						s21-d35_9_6									
1586	1669	cut	knife	plum	,plate	s21-d35_2_5		s21-d35_4_5	s21-d35_6_5	s21-d35_7_4		s21-d35_10_4	s21-d35_13_6	s21-d35_14_5	s21-d35_15_5	s21-d35_16_4	s21-d35_17_5	s21-d35_18_5	s21-d35_19_9	s21-d35_20_6
1758	1832	throw in garbage	hand	stone			s21-d35_3_5	s21-d35_4_6		s21-d35_7_5		s21-d35_10_5	s21-d35_13_7	s21-d35_14_6	s21-d35_15_6	s21-d35_16_5	s21-d35_17_6	s21-d35_18_6	s21-d35_19_10	s21-d35_20_7
