278	521	take out	hand	avocado	,fridge	s22-d53_1_1					s22-d53_6_1	s22-d53_8_1	s22-d53_10_1		s22-d53_12_1. s22-d53_12_2		s22-d53_16_1		s22-d53_19_1	
521	572	remove label	hand	avocado			s22-d53_2_1	s22-d53_3_1								s22-d53_13_1		s22-d53_17_1		
609	855	throw in garbage	hand	label					s22-d53_4_1	s22-d53_5_1		s22-d53_8_2		s22-d53_11_1	s22-d53_12_3					s22-d53_20_1
883	1080	take out	hand	cutting board	counter,drawer	s22-d53_1_2			s22-d53_4_2				s22-d53_10_2		s22-d53_12_4		s22-d53_16_2		s22-d53_19_2	
1080	1148	close	hand		drawer							s22-d53_8_3	s22-d53_10_3		s22-d53_12_5. s22-d53_12_6	s22-d53_13_2				
1152	1383	take out	hand	knife	,drawer	s22-d53_1_3			s22-d53_4_3		s22-d53_6_2						s22-d53_16_3	s22-d53_17_2	s22-d53_19_3	
1392	1433	move	hand	avocado	counter,cutting board		s22-d53_2_2	s22-d53_3_2		s22-d53_5_2		s22-d53_8_4		s22-d53_11_2						s22-d53_20_2
1461	1811	cut	knife	avocado	cutting board									s22-d53_11_3	s22-d53_12_7	s22-d53_13_3				s22-d53_20_3
1836	1902	take apart	hand	avocado		s22-d53_1_4		s22-d53_3_3	s22-d53_4_4	s22-d53_5_3	s22-d53_6_3	s22-d53_8_5	s22-d53_10_4			s22-d53_13_4	s22-d53_16_4	s22-d53_17_3	s22-d53_19_4	
1987	2052	take apart	hand	avocado,stone									s22-d53_10_5	s22-d53_11_4	s22-d53_12_8		s22-d53_16_5	s22-d53_17_4		s22-d53_20_4
2100	2215	throw in garbage	hand	stone		s22-d53_1_5	s22-d53_2_3	s22-d53_3_4	s22-d53_4_5	s22-d53_5_4	s22-d53_6_4		s22-d53_10_6			s22-d53_13_5			s22-d53_19_5	
2249	2374	wash	hand	hand		s22-d53_1_6						s22-d53_8_6	s22-d53_10_7	s22-d53_11_5	s22-d53_12_9				s22-d53_19_6	
2395	2439	move	hand	towel	,hook															
2439	2556	dry	towel	hand					s22-d53_4_6											s22-d53_20_5
2582	2713	take out	hand	peeler	drawer	s22-d53_1_7			s22-d53_4_7			s22-d53_8_7	s22-d53_10_8							
2760	2842	peel	peeler	avocado																
2885	3221	peel	hand	avocado																
3228	3287	move	hand	peeler	cutting board,sink															
3297	3323	move	hand	peel	counter,cutting board															
3329	3920	peel	hand	avocado																
3979	4595	peel	hand	avocado		s22-d53_1_8		s22-d53_3_5	s22-d53_4_8		s22-d53_6_5		s22-d53_10_9		s22-d53_12_10	s22-d53_13_6	s22-d53_16_6	s22-d53_17_5		
4741	4851	throw in garbage	hand	peel		s22-d53_1_9	s22-d53_2_4		s22-d53_4_9	s22-d53_5_5	s22-d53_6_6	s22-d53_8_8		s22-d53_11_6		s22-d53_13_7			s22-d53_19_7	
4884	5048	wash	hand	hand											s22-d53_12_11					
5048	5075	shake	hand	hand															s22-d53_19_8	
5116	5145	dry	towel	hand					s22-d53_4_10			s22-d53_8_9								s22-d53_20_6
5177	5276	cut	knife	avocado	cutting board											s22-d53_13_8				
5299	5426	chop	knife	avocado	cutting board															
5426	5529	chop	knife	avocado	cutting board											s22-d53_13_9				
5541	5584	move	hand	avocado	cutting board															
5601	5686	cut	knife	avocado	cutting board															
5700	5787	chop	knife	avocado	cutting board															
5810	5901	chop	knife	avocado	cutting board	s22-d53_1_10			s22-d53_4_11					s22-d53_11_7	s22-d53_12_12	s22-d53_13_10		s22-d53_17_6		s22-d53_20_7
5923	5960	taste	hand	avocado			s22-d53_2_5	s22-d53_3_6		s22-d53_5_6	s22-d53_6_7	s22-d53_8_10					s22-d53_16_7		s22-d53_19_9	
