141	354	take out	hand	plastic box	counter,fridge	s30-d52_1_1		s30-d52_3_1	s30-d52_4_1							s30-d52_12_1		s30-d52_14_1		s30-d52_16_1				
361	373	remove lid	hand	lid	plastic box																			
373	453	remove from package	hand	kiwi	,plastic box																			
453	502	put in	hand	kiwi	,plastic box																			
502	512	remove from package	hand	kiwi	,plastic box																			
512	540	put lid	hand	lid	plastic box		s30-d52_2_1		s30-d52_4_2	s30-d52_5_1	s30-d52_6_1	s30-d52_7_1	s30-d52_8_1	s30-d52_10_1	s30-d52_11_1		s30-d52_13_1		s30-d52_15_1		s30-d52_17_1		s30-d52_19_1	s30-d52_20_1
619	732	take out	hand	cutting board	counter,drawer	s30-d52_1_2		s30-d52_3_2	s30-d52_4_3	s30-d52_5_2	s30-d52_6_2	s30-d52_7_2	s30-d52_8_2		s30-d52_11_2	s30-d52_12_2			s30-d52_15_2	s30-d52_16_2	s30-d52_17_2	s30-d52_18_1		s30-d52_20_2
780	986	take out	hand	plate	counter,cupboard	s30-d52_1_3		s30-d52_3_3	s30-d52_4_4	s30-d52_5_3	s30-d52_6_3	s30-d52_7_3	s30-d52_8_3	s30-d52_10_2	s30-d52_11_3	s30-d52_12_3		s30-d52_14_2	s30-d52_15_3	s30-d52_16_3	s30-d52_17_3			s30-d52_20_3
1024	1153	take out	hand	knife	drawer	s30-d52_1_4	s30-d52_2_2	s30-d52_3_4	s30-d52_4_5	s30-d52_5_4		s30-d52_7_4	s30-d52_8_4		s30-d52_11_4	s30-d52_12_4	s30-d52_13_2	s30-d52_14_3	s30-d52_15_4	s30-d52_16_4	s30-d52_17_4	s30-d52_18_2	s30-d52_19_2	s30-d52_20_4
1270	1612	wash	hand	kiwi		s30-d52_1_5		s30-d52_3_5		s30-d52_5_5	s30-d52_6_4					s30-d52_12_5	s30-d52_13_3	s30-d52_14_4		s30-d52_16_5				
1623	1674	shake	hand	kiwi			s30-d52_2_3					s30-d52_7_5	s30-d52_8_5	s30-d52_10_3	s30-d52_11_5				s30-d52_15_5		s30-d52_17_5	s30-d52_18_3	s30-d52_19_3	s30-d52_20_5
1725	2729	peel	knife	kiwi		s30-d52_1_6	s30-d52_2_4					s30-d52_7_6	s30-d52_8_6	s30-d52_10_4	s30-d52_11_6	s30-d52_12_6	s30-d52_13_4	s30-d52_14_5	s30-d52_15_6	s30-d52_16_6	s30-d52_17_6		s30-d52_19_4	s30-d52_20_6
2782	2858	cut	knife	kiwi	cutting board			s30-d52_3_6																
2865	2910	cut	knife	kiwi	cutting board																			
2910	2986	chop	knife	kiwi	cutting board				s30-d52_4_6															
3019	3058	move	hand,knife	kiwi	cutting board,plate			s30-d52_3_7										s30-d52_14_6						
3063	3091	move	hand,knife	kiwi	cutting board,plate																			
3131	3163	cut	knife	kiwi	cutting board																			
3163	3217	chop	knife	kiwi	cutting board																			
3220	3259	move	hand	kiwi	cutting board,plate	s30-d52_1_7																		
3264	3352	move	hand,knife	kiwi	cutting board,plate	s30-d52_1_8	s30-d52_2_5		s30-d52_4_7	s30-d52_5_6		s30-d52_7_7	s30-d52_8_7	s30-d52_10_5	s30-d52_11_7	s30-d52_12_7	s30-d52_13_5		s30-d52_15_7	s30-d52_16_7	s30-d52_17_7	s30-d52_18_4	s30-d52_19_5	s30-d52_20_7
3370	4425	peel	knife	kiwi		s30-d52_1_9	s30-d52_2_6					s30-d52_7_8	s30-d52_8_8	s30-d52_10_6	s30-d52_11_8	s30-d52_12_8	s30-d52_13_6	s30-d52_14_7	s30-d52_15_8	s30-d52_16_8	s30-d52_17_8		s30-d52_19_6	s30-d52_20_8
4462	4518	cut	knife	kiwi	cutting board																			
4558	4586	cut	knife	kiwi	cutting board																			
4586	4622	chop	knife	kiwi	cutting board																			
4633	4655	move	hand	kiwi	cutting board,plate																			
4659	4724	move	hand,knife	kiwi	cutting board,plate																			
4753	4778	cut	knife	kiwi	cutting board																			
4778	4829	chop	knife	kiwi	cutting board																			
4841	4861	move	hand,knife	kiwi	cutting board,plate																			
4875	4908	move	hand,knife	kiwi	cutting board,plate	s30-d52_1_10	s30-d52_2_7		s30-d52_4_8	s30-d52_5_7	s30-d52_6_5	s30-d52_7_9	s30-d52_8_9	s30-d52_10_7	s30-d52_11_9	s30-d52_12_9	s30-d52_13_7	s30-d52_14_8	s30-d52_15_9	s30-d52_16_9	s30-d52_17_9	s30-d52_18_5	s30-d52_19_7	s30-d52_20_9
5176	5256	throw in garbage	hand	peel						s30-d52_5_8		s30-d52_7_10	s30-d52_8_10		s30-d52_11_10		s30-d52_13_8		s30-d52_15_10		s30-d52_17_10			s30-d52_20_10
5296	5425	take out	hand	fork	counter,drawer					s30-d52_5_9		s30-d52_7_11	s30-d52_8_11		s30-d52_11_11		s30-d52_13_9		s30-d52_15_11		s30-d52_17_11			s30-d52_20_11
5455	5527	move	hand	cutting board	counter,sink																			
5527	5696	wash	hand	cutting board													s30-d52_13_10							
5831	5903	wash	hand	knife													s30-d52_13_11							
5903	5982	shake	hand	knife						s30-d52_5_10		s30-d52_7_12	s30-d52_8_12		s30-d52_11_12				s30-d52_15_12		s30-d52_17_12			s30-d52_20_12
6068	6323	clean	sponge	counter					s30-d52_4_9															
6383	6503	wash	hand	sponge																				
6503	6574	wring out	hand	sponge																				
6586	6653	wring out	hand,sponge																					
6669	6822	clean	sponge	counter						s30-d52_5_11		s30-d52_7_13	s30-d52_8_13		s30-d52_11_13		s30-d52_13_12		s30-d52_15_13		s30-d52_17_13			s30-d52_20_13
6901	6943	wash	hand	hand																				
6947	6992	shake	hand	hand																				
7001	7107	dry	towel	hand										s30-d52_10_8			s30-d52_13_13				s30-d52_17_14		s30-d52_19_8	s30-d52_20_14
7126	7303	put in	hand	plastic box	counter,fridge		s30-d52_2_8				s30-d52_6_6		s30-d52_8_14		s30-d52_11_14		s30-d52_13_14		s30-d52_15_14			s30-d52_18_6		s30-d52_20_15
