207	317	take out	hand	cutting board	counter,drawer		s28-d51_2_1	s28-d51_3_1	s28-d51_4_1	s28-d51_5_1		s28-d51_7_1			s28-d51_10_1	s28-d51_11_1		s28-d51_13_1				s28-d51_17_1		s28-d51_19_1	s28-d51_20_1
342	449	take out	hand	knife	cutting board,drawer		s28-d51_2_2	s28-d51_3_2	s28-d51_4_2	s28-d51_5_2	s28-d51_6_1	s28-d51_7_2				s28-d51_11_2		s28-d51_13_2	s28-d51_14_1	s28-d51_15_1		s28-d51_17_2		s28-d51_19_2	s28-d51_20_2
478	887	take out	hand	beans,plastic bag	counter,fridge		s28-d51_2_3	s28-d51_3_3	s28-d51_4_3	s28-d51_5_3		s28-d51_7_3				s28-d51_11_3	s28-d51_12_1					s28-d51_17_3		s28-d51_19_3	
887	946	move	hand	beans	cutting board,plastic bag										s28-d51_10_2										
955	1029	remove from package	hand	beans	cutting board,plastic bag																				
1036	1164	remove from package	hand	beans	cutting board,plastic bag	s28-d51_1_1																s28-d51_17_4	s28-d51_18_1		
1164	1341	put in	hand	plastic bag	counter,fridge		s28-d51_2_4	s28-d51_3_4	s28-d51_4_4		s28-d51_6_2	s28-d51_7_4		s28-d51_9_1		s28-d51_11_4		s28-d51_13_3	s28-d51_14_2	s28-d51_15_2	s28-d51_16_1			s28-d51_19_4	s28-d51_20_3
1439	1678	wash	hand	beans					s28-d51_4_5	s28-d51_5_4		s28-d51_7_5	s28-d51_8_1				s28-d51_12_2	s28-d51_13_4				s28-d51_17_5		s28-d51_19_5	
1678	1812	shake	hand	beans		s28-d51_1_2	s28-d51_2_5	s28-d51_3_5			s28-d51_6_3			s28-d51_9_2	s28-d51_10_3	s28-d51_11_5			s28-d51_14_3	s28-d51_15_3			s28-d51_18_2		s28-d51_20_4
1870	1955	cut	knife	beans	cutting board																				
1959	2067	cut	knife	beans	cutting board																				
2071	2156	cut	knife	beans	cutting board										s28-d51_10_4										
2162	2342	cut	knife	beans	cutting board								s28-d51_8_2												
2370	2466	cut	knife	beans	cutting board																				
2494	2597	cut	knife	beans	cutting board																				
2622	2762	cut	knife	beans	cutting board	s28-d51_1_3	s28-d51_2_6	s28-d51_3_6	s28-d51_4_6	s28-d51_5_5						s28-d51_11_6	s28-d51_12_3	s28-d51_13_5			s28-d51_16_2	s28-d51_17_6	s28-d51_18_3	s28-d51_19_6	s28-d51_20_5
2860	3097	arrange	hand	beans	cutting board						s28-d51_6_4														
3097	3142	cut	knife	beans	cutting board																				
3142	3333	arrange	hand	beans	cutting board									s28-d51_9_3											
3403	3455	arrange	hand	beans	cutting board						s28-d51_6_5														
3470	3803	cut	knife	beans	cutting board	s28-d51_1_4			s28-d51_4_7	s28-d51_5_6	s28-d51_6_6	s28-d51_7_6	s28-d51_8_3		s28-d51_10_5	s28-d51_11_7	s28-d51_12_4	s28-d51_13_6		s28-d51_15_4	s28-d51_16_3	s28-d51_17_7	s28-d51_18_4		s28-d51_20_6
