202	495	take out	hand	orange	fridge		s31-d28_4_1	s31-d28_5_1	s31-d28_6_1			s31-d28_9_1	s31-d28_10_1	s31-d28_11_1	s31-d28_12_1		s31-d28_15_1	s31-d28_16_1	s31-d28_17_1	s31-d28_19_1	s31-d28_20_1
621	740	take out	hand	cutting board	counter,drawer	s31-d28_1_1		s31-d28_5_2			s31-d28_8_1. s31-d28_8_2	s31-d28_9_2	s31-d28_10_2	s31-d28_11_2		s31-d28_13_1. s31-d28_13_2	s31-d28_15_2	s31-d28_16_2	s31-d28_17_2	s31-d28_19_2	s31-d28_20_2
740	793	close	hand		drawer																
802	940	take out	hand	spoon	cutting board,drawer			s31-d28_5_3			s31-d28_8_3			s31-d28_11_3		s31-d28_13_3	s31-d28_15_3			s31-d28_19_3	s31-d28_20_3
949	1221	take out	hand	knife	cutting board,drawer	s31-d28_1_2	s31-d28_4_2	s31-d28_5_4	s31-d28_6_2	s31-d28_7_1	s31-d28_8_4	s31-d28_9_3	s31-d28_10_3	s31-d28_11_4	s31-d28_12_2	s31-d28_13_4	s31-d28_15_4	s31-d28_16_3	s31-d28_17_3	s31-d28_19_4	s31-d28_20_4
1280	1771	cut	knife	orange	cutting board	s31-d28_1_3	s31-d28_4_3			s31-d28_7_2	s31-d28_8_5			s31-d28_11_5	s31-d28_12_3. s31-d28_12_4	s31-d28_13_5. s31-d28_13_6					
1805	3334	peel	spoon	orange		s31-d28_1_4	s31-d28_4_4								s31-d28_12_5						
3334	3384	take apart	hand	orange,peel												s31-d28_13_7					
3384	3552	take apart	hand	orange,peel			s31-d28_4_5	s31-d28_5_5	s31-d28_6_3		s31-d28_8_6			s31-d28_11_6	s31-d28_12_6	s31-d28_13_8		s31-d28_16_4	s31-d28_17_4		s31-d28_20_5
3566	3597	move	hand	peel	counter,cutting board							s31-d28_9_4	s31-d28_10_4								
3662	3702	move	hand	spoon	counter,cutting board		s31-d28_4_6			s31-d28_7_3					s31-d28_12_7	s31-d28_13_9	s31-d28_15_5			s31-d28_19_5	
3740	3994	cut	knife	orange	cutting board	s31-d28_1_5	s31-d28_4_7	s31-d28_5_6	s31-d28_6_4		s31-d28_8_7		s31-d28_10_5	s31-d28_11_7	s31-d28_12_8	s31-d28_13_10	s31-d28_15_6	s31-d28_16_5	s31-d28_17_5	s31-d28_19_6	s31-d28_20_6
4071	4232	take out	hand	plate	counter,cupboard			s31-d28_5_7		s31-d28_7_4	s31-d28_8_8		s31-d28_10_6	s31-d28_11_8	s31-d28_12_9		s31-d28_15_7	s31-d28_16_6	s31-d28_17_6	s31-d28_19_7	
4242	4268	move	hand	orange	cutting board,plate																
4268	4309	move	hand	orange	cutting board,plate																
4309	4378	move	hand	orange	cutting board,plate		s31-d28_4_8	s31-d28_5_8	s31-d28_6_5		s31-d28_8_9	s31-d28_9_5	s31-d28_10_7	s31-d28_11_9	s31-d28_12_10	s31-d28_13_11	s31-d28_15_8	s31-d28_16_7	s31-d28_17_7	s31-d28_19_8	
4434	4675	wash	hand	spoon																	s31-d28_20_7
4675	4716	shake	hand	spoon																	
4739	4804	dry	towel	spoon																	
4822	4865	put in	hand	spoon	,drawer		s31-d28_4_9				s31-d28_8_10			s31-d28_11_10	s31-d28_12_11	s31-d28_13_12	s31-d28_15_9				
4907	5056	wash	hand	knife						s31-d28_7_5											
5056	5086	shake	hand	spoon																	
5114	5190	dry	towel	knife			s31-d28_4_10														
5211	5254	put in	hand	knife	,drawer			s31-d28_5_9		s31-d28_7_6	s31-d28_8_11			s31-d28_11_11	s31-d28_12_12	s31-d28_13_13	s31-d28_15_10	s31-d28_16_8	s31-d28_17_8		s31-d28_20_8
5284	5353	throw in garbage	hand	peel				s31-d28_5_10			s31-d28_8_12			s31-d28_11_12		s31-d28_13_14	s31-d28_15_11	s31-d28_16_9	s31-d28_17_9		s31-d28_20_9
5410	5568	wash	hand	cutting board																	
5568	5670	shake	hand	cutting board			s31-d28_4_11														
5675	5737	put in	hand	cutting board	,drawer			s31-d28_5_11	s31-d28_6_6		s31-d28_8_13. s31-d28_8_14	s31-d28_9_6		s31-d28_11_13. s31-d28_11_14	s31-d28_12_13. s31-d28_12_14	s31-d28_13_15	s31-d28_15_12	s31-d28_16_10	s31-d28_17_10		s31-d28_20_10
