s23-d21_1_1		s23-d21_3_1		s23-d21_5_1	s23-d21_6_1	s23-d21_7_1	s23-d21_8_1	s23-d21_10_1			s23-d21_13_1	s23-d21_14_1	s23-d21_15_1				s23-d21_20_1
	s23-d21_2_1													s23-d21_17_1	s23-d21_18_1		
	s23-d21_2_2	s23-d21_3_2		s23-d21_5_2	s23-d21_6_2	s23-d21_7_2	s23-d21_8_2	s23-d21_10_2	s23-d21_11_1			s23-d21_14_2	s23-d21_15_2		s23-d21_18_2		s23-d21_20_2
s23-d21_1_2																	
									s23-d21_11_2							s23-d21_19_1	
s23-d21_1_3	s23-d21_2_3	s23-d21_3_3	s23-d21_4_1	s23-d21_5_3	s23-d21_6_3	s23-d21_7_3	s23-d21_8_3	s23-d21_10_3	s23-d21_11_3		s23-d21_13_2	s23-d21_14_3	s23-d21_15_3		s23-d21_18_3		s23-d21_20_3
		s23-d21_3_4		s23-d21_5_4	s23-d21_6_4					s23-d21_12_1							s23-d21_20_4
		s23-d21_3_5		s23-d21_5_5	s23-d21_6_5				s23-d21_11_4	s23-d21_12_2	s23-d21_13_3					s23-d21_19_2	s23-d21_20_5
s23-d21_1_4	s23-d21_2_4	s23-d21_3_6		s23-d21_5_6	s23-d21_6_6	s23-d21_7_4		s23-d21_10_4		s23-d21_12_3	s23-d21_13_4	s23-d21_14_4	s23-d21_15_4	s23-d21_17_2	s23-d21_18_4		s23-d21_20_6
			s23-d21_4_2				s23-d21_8_4										
s23-d21_1_5	s23-d21_2_5		s23-d21_4_3	s23-d21_5_7	s23-d21_6_7	s23-d21_7_5					s23-d21_13_5	s23-d21_14_5	s23-d21_15_5	s23-d21_17_3			
s23-d21_1_6			s23-d21_4_4		s23-d21_6_8				s23-d21_11_5	s23-d21_12_4	s23-d21_13_6	s23-d21_14_6	s23-d21_15_6	s23-d21_17_4	s23-d21_18_5		s23-d21_20_7
											s23-d21_13_7						
																	
											s23-d21_13_8						
s23-d21_1_7	s23-d21_2_6	s23-d21_3_7	s23-d21_4_5	s23-d21_5_8	s23-d21_6_9	s23-d21_7_6	s23-d21_8_5	s23-d21_10_5	s23-d21_11_6	s23-d21_12_5		s23-d21_14_7	s23-d21_15_7	s23-d21_17_5	s23-d21_18_6		s23-d21_20_8
	s23-d21_2_7	s23-d21_3_8		s23-d21_5_9	s23-d21_6_10	s23-d21_7_7	s23-d21_8_6			s23-d21_12_6		s23-d21_14_8	s23-d21_15_8	s23-d21_17_6	s23-d21_18_7		
																	
																	
																	
																	
																	
s23-d21_1_8	s23-d21_2_8	s23-d21_3_9			s23-d21_6_11	s23-d21_7_8	s23-d21_8_7					s23-d21_14_9	s23-d21_15_9			s23-d21_19_3	
s23-d21_1_9																	
	s23-d21_2_9	s23-d21_3_10			s23-d21_6_12				s23-d21_11_7	s23-d21_12_7	s23-d21_13_9	s23-d21_14_10	s23-d21_15_10		s23-d21_18_8		s23-d21_20_9
														s23-d21_17_7			
																s23-d21_19_4	
																	
																	
s23-d21_1_10	s23-d21_2_10		s23-d21_4_6		s23-d21_6_13	s23-d21_7_9	s23-d21_8_8	s23-d21_10_6		s23-d21_12_8	s23-d21_13_10	s23-d21_14_11	s23-d21_15_11	s23-d21_17_8	s23-d21_18_9		s23-d21_20_10
		s23-d21_3_11							s23-d21_11_8	s23-d21_12_9							s23-d21_20_11
	s23-d21_2_11		s23-d21_4_7		s23-d21_6_14. s23-d21_6_15	s23-d21_7_10	s23-d21_8_9	s23-d21_10_7	s23-d21_11_9	s23-d21_12_10	s23-d21_13_11	s23-d21_14_12	s23-d21_15_12	s23-d21_17_9. s23-d21_17_10	s23-d21_18_10	s23-d21_19_5	s23-d21_20_12
