s25-d51_1_1	s25-d51_2_1			s25-d51_5_1		s25-d51_8_1	s25-d51_9_1		s25-d51_12_1			s25-d51_15_1	s25-d51_16_1	s25-d51_19_1	s25-d51_20_1
s25-d51_1_2			s25-d51_4_1		s25-d51_7_1			s25-d51_10_1	s25-d51_12_2	s25-d51_13_1			s25-d51_16_2		
	s25-d51_2_2		s25-d51_4_2			s25-d51_8_2	s25-d51_9_2		s25-d51_12_3	s25-d51_13_2	s25-d51_14_1	s25-d51_15_2	s25-d51_16_3	s25-d51_19_2	
s25-d51_1_3	s25-d51_2_3	s25-d51_3_1	s25-d51_4_3	s25-d51_5_2	s25-d51_7_2	s25-d51_8_3	s25-d51_9_3	s25-d51_10_2. s25-d51_10_3	s25-d51_12_4	s25-d51_13_3		s25-d51_15_3	s25-d51_16_4	s25-d51_19_3	s25-d51_20_2
	s25-d51_2_4	s25-d51_3_2	s25-d51_4_4	s25-d51_5_3	s25-d51_7_3	s25-d51_8_4	s25-d51_9_4	s25-d51_10_4		s25-d51_13_4	s25-d51_14_2			s25-d51_19_4	
									s25-d51_12_5			s25-d51_15_4			
s25-d51_1_4		s25-d51_3_3									s25-d51_14_3	s25-d51_15_5	s25-d51_16_5		s25-d51_20_3
													s25-d51_16_6		
	s25-d51_2_5	s25-d51_3_4	s25-d51_4_5	s25-d51_5_4	s25-d51_7_4	s25-d51_8_5	s25-d51_9_5	s25-d51_10_5		s25-d51_13_5				s25-d51_19_5	s25-d51_20_4
	s25-d51_2_6					s25-d51_8_6				s25-d51_13_6	s25-d51_14_4				s25-d51_20_5
												s25-d51_15_6			
s25-d51_1_5									s25-d51_12_6				s25-d51_16_7		
	s25-d51_2_7. s25-d51_2_8	s25-d51_3_5	s25-d51_4_6	s25-d51_5_5	s25-d51_7_5	s25-d51_8_7	s25-d51_9_6	s25-d51_10_6		s25-d51_13_7	s25-d51_14_5	s25-d51_15_7		s25-d51_19_6	s25-d51_20_6
