s36-d31_2_1	s36-d31_3_1	s36-d31_4_1	s36-d31_5_1	s36-d31_6_1	s36-d31_7_1	s36-d31_8_1	s36-d31_9_1		s36-d31_11_1	s36-d31_12_1		s36-d31_14_1	s36-d31_15_1				s36-d31_19_1	
s36-d31_2_2	s36-d31_3_2	s36-d31_4_2	s36-d31_5_2		s36-d31_7_2	s36-d31_8_2	s36-d31_9_2		s36-d31_11_2	s36-d31_12_2		s36-d31_14_2			s36-d31_17_1		s36-d31_19_2	
													s36-d31_15_2					
s36-d31_2_3	s36-d31_3_3	s36-d31_4_3	s36-d31_5_3	s36-d31_6_2	s36-d31_7_3	s36-d31_8_3			s36-d31_11_3	s36-d31_12_3		s36-d31_14_3	s36-d31_15_3	s36-d31_16_1	s36-d31_17_2	s36-d31_18_1	s36-d31_19_3	s36-d31_20_1
											s36-d31_13_1	s36-d31_14_4		s36-d31_16_2	s36-d31_17_3			
								s36-d31_10_1										
																		
																		
s36-d31_2_4			s36-d31_5_4	s36-d31_6_3		s36-d31_8_4				s36-d31_12_4	s36-d31_13_2. s36-d31_13_3	s36-d31_14_5	s36-d31_15_4	s36-d31_16_3	s36-d31_17_4	s36-d31_18_2	s36-d31_19_4	
					s36-d31_7_4													s36-d31_20_2
s36-d31_2_5	s36-d31_3_4	s36-d31_4_4	s36-d31_5_5	s36-d31_6_4		s36-d31_8_5	s36-d31_9_3		s36-d31_11_4	s36-d31_12_5		s36-d31_14_6	s36-d31_15_5	s36-d31_16_4			s36-d31_19_5	
																		
								s36-d31_10_2										
																		
																		
								s36-d31_10_3										
						s36-d31_8_6												
s36-d31_2_6	s36-d31_3_5	s36-d31_4_5	s36-d31_5_6	s36-d31_6_5	s36-d31_7_5		s36-d31_9_4		s36-d31_11_5	s36-d31_12_6	s36-d31_13_4	s36-d31_14_7	s36-d31_15_6	s36-d31_16_5	s36-d31_17_5	s36-d31_18_3	s36-d31_19_6	
																		
s36-d31_2_7			s36-d31_5_7				s36-d31_9_5	s36-d31_10_4	s36-d31_11_6	s36-d31_12_7		s36-d31_14_8	s36-d31_15_7	s36-d31_16_6			s36-d31_19_7	s36-d31_20_3
																s36-d31_18_4		
																		
						s36-d31_8_7												
s36-d31_2_8	s36-d31_3_6	s36-d31_4_6	s36-d31_5_8	s36-d31_6_6			s36-d31_9_6	s36-d31_10_5	s36-d31_11_7				s36-d31_15_8	s36-d31_16_7		s36-d31_18_5	s36-d31_19_8	s36-d31_20_4
s36-d31_2_9							s36-d31_9_7		s36-d31_11_8			s36-d31_14_9						
			s36-d31_5_9			s36-d31_8_8					s36-d31_13_5			s36-d31_16_8			s36-d31_19_9	
													s36-d31_15_9					
s36-d31_2_10	s36-d31_3_7	s36-d31_4_7		s36-d31_6_7		s36-d31_8_9	s36-d31_9_8	s36-d31_10_6	s36-d31_11_9			s36-d31_14_10	s36-d31_15_10	s36-d31_16_9				s36-d31_20_5
s36-d31_2_11	s36-d31_3_8	s36-d31_4_8	s36-d31_5_10	s36-d31_6_8	s36-d31_7_6	s36-d31_8_10	s36-d31_9_9		s36-d31_11_10		s36-d31_13_6	s36-d31_14_11	s36-d31_15_11	s36-d31_16_10		s36-d31_18_6	s36-d31_19_10	s36-d31_20_6
																		
																		
																		
																		
								s36-d31_10_7										
																		
															s36-d31_17_6			
s36-d31_2_12	s36-d31_3_9	s36-d31_4_9	s36-d31_5_11	s36-d31_6_9	s36-d31_7_7	s36-d31_8_11	s36-d31_9_10		s36-d31_11_11		s36-d31_13_7	s36-d31_14_12	s36-d31_15_12	s36-d31_16_11		s36-d31_18_7	s36-d31_19_11	s36-d31_20_7
																		
s36-d31_2_13	s36-d31_3_10	s36-d31_4_10	s36-d31_5_12			s36-d31_8_12	s36-d31_9_11		s36-d31_11_12				s36-d31_15_13	s36-d31_16_12			s36-d31_19_12	
																		
								s36-d31_10_8								s36-d31_18_8		
									s36-d31_11_13									s36-d31_20_8
s36-d31_2_14	s36-d31_3_11	s36-d31_4_11					s36-d31_9_12					s36-d31_14_13	s36-d31_15_14		s36-d31_17_7		s36-d31_19_13	
	s36-d31_3_12	s36-d31_4_12	s36-d31_5_13	s36-d31_6_10		s36-d31_8_13								s36-d31_16_13				
