	s32-d69_4_1		s32-d69_6_1	s32-d69_8_1			s32-d69_11_1			s32-d69_14_1	s32-d69_15_1	s32-d69_16_1	s32-d69_17_1		s32-d69_19_1
					s32-d69_9_1					s32-d69_14_2	s32-d69_15_2				
							s32-d69_11_2			s32-d69_14_3		s32-d69_16_2			s32-d69_19_2
	s32-d69_4_2	s32-d69_5_1			s32-d69_9_2		s32-d69_11_3		s32-d69_13_1	s32-d69_14_4	s32-d69_15_3	s32-d69_16_3	s32-d69_17_2	s32-d69_18_1	s32-d69_19_3
															
										s32-d69_14_5	s32-d69_15_4	s32-d69_16_4			s32-d69_19_4
						s32-d69_10_1									
															
							s32-d69_11_4								
										s32-d69_14_6		s32-d69_16_5			
														s32-d69_18_2	
										s32-d69_14_7	s32-d69_15_5	s32-d69_16_6			
										s32-d69_14_8					
															
										s32-d69_14_9		s32-d69_16_7			s32-d69_19_5
								s32-d69_12_1		s32-d69_14_10	s32-d69_15_6	s32-d69_16_8			
	s32-d69_4_3	s32-d69_5_2	s32-d69_6_2	s32-d69_8_2	s32-d69_9_3		s32-d69_11_5		s32-d69_13_2	s32-d69_14_11		s32-d69_16_9		s32-d69_18_3	s32-d69_19_6
s32-d69_3_1						s32-d69_10_2				s32-d69_14_12	s32-d69_15_7				
										s32-d69_14_13		s32-d69_16_10	s32-d69_17_3		
									s32-d69_13_3						s32-d69_19_7
															
															
								s32-d69_12_2		s32-d69_14_14					
	s32-d69_4_4	s32-d69_5_3													
															
											s32-d69_15_8				
															
								s32-d69_12_3			s32-d69_15_9				
	s32-d69_4_5	s32-d69_5_4		s32-d69_8_3	s32-d69_9_4					s32-d69_14_15					
						s32-d69_10_3	s32-d69_11_6		s32-d69_13_4				s32-d69_17_4	s32-d69_18_4	s32-d69_19_8
	s32-d69_4_6	s32-d69_5_5	s32-d69_6_3	s32-d69_8_4	s32-d69_9_5		s32-d69_11_7	s32-d69_12_4	s32-d69_13_5		s32-d69_15_10		s32-d69_17_5	s32-d69_18_5	s32-d69_19_9
								s32-d69_12_5			s32-d69_15_11				
						s32-d69_10_4									
		s32-d69_5_6					s32-d69_11_8		s32-d69_13_6		s32-d69_15_12			s32-d69_18_6	s32-d69_19_10
															
						s32-d69_10_5									
															
											s32-d69_15_13				
											s32-d69_15_14				
													s32-d69_17_6		
															
															
															
		s32-d69_5_7				s32-d69_10_6		s32-d69_12_6							
					s32-d69_9_6		s32-d69_11_9		s32-d69_13_7						s32-d69_19_11
				s32-d69_8_5											
	s32-d69_4_7												s32-d69_17_7	s32-d69_18_7	
s32-d69_3_2			s32-d69_6_4			s32-d69_10_7		s32-d69_12_7							
		s32-d69_5_8											s32-d69_17_8		
							s32-d69_11_10								
									s32-d69_13_8						
						s32-d69_10_8	s32-d69_11_11	s32-d69_12_8							
															
															
															
														s32-d69_18_8	
															
															
							s32-d69_11_12		s32-d69_13_9						
													s32-d69_17_9		
			s32-d69_6_5			s32-d69_10_9									s32-d69_19_12
	s32-d69_4_8	s32-d69_5_9		s32-d69_8_6	s32-d69_9_7			s32-d69_12_9							
														s32-d69_18_9	s32-d69_19_13
						s32-d69_10_10		s32-d69_12_10					s32-d69_17_10		
		s32-d69_5_10													
								s32-d69_12_11							
s32-d69_3_3							s32-d69_11_13		s32-d69_13_10				s32-d69_17_11	s32-d69_18_10	
		s32-d69_5_11	s32-d69_6_6	s32-d69_8_7				s32-d69_12_12							s32-d69_19_14
		s32-d69_5_12	s32-d69_6_7					s32-d69_12_13. s32-d69_12_14	s32-d69_13_11				s32-d69_17_12	s32-d69_18_11	
													s32-d69_17_13	s32-d69_18_12	
															
							s32-d69_11_14		s32-d69_13_12						
s32-d69_3_4															s32-d69_19_15
															
									s32-d69_13_13						
															
															
		s32-d69_5_13				s32-d69_10_11									
s32-d69_3_5	s32-d69_4_9			s32-d69_8_8	s32-d69_9_8			s32-d69_12_15	s32-d69_13_14						
			s32-d69_6_8			s32-d69_10_12	s32-d69_11_15						s32-d69_17_14	s32-d69_18_13	
		s32-d69_5_14													
															
	s32-d69_4_10				s32-d69_9_9				s32-d69_13_15				s32-d69_17_15		
