s31-d31_1_1						s31-d31_10_1		s31-d31_13_1				s31-d31_17_1		s31-d31_19_1	
							s31-d31_12_1								
		s31-d31_5_1	s31-d31_6_1	s31-d31_8_1	s31-d31_9_1									s31-d31_19_2	
		s31-d31_5_2				s31-d31_10_2				s31-d31_15_1		s31-d31_17_2		s31-d31_19_3	
									s31-d31_14_1						
					s31-d31_9_2										
															
s31-d31_1_2		s31-d31_5_3	s31-d31_6_2	s31-d31_8_2		s31-d31_10_3	s31-d31_12_2	s31-d31_13_2	s31-d31_14_2	s31-d31_15_2	s31-d31_16_1	s31-d31_17_3		s31-d31_19_4	s31-d31_20_1
s31-d31_1_3					s31-d31_9_3										
	s31-d31_2_1	s31-d31_5_4	s31-d31_6_3			s31-d31_10_4	s31-d31_12_3	s31-d31_13_3			s31-d31_16_2	s31-d31_17_4	s31-d31_18_1	s31-d31_19_5	s31-d31_20_2
s31-d31_1_4		s31-d31_5_5						s31-d31_13_4	s31-d31_14_3	s31-d31_15_3		s31-d31_17_5		s31-d31_19_6	s31-d31_20_3
s31-d31_1_5	s31-d31_2_2	s31-d31_5_6	s31-d31_6_4	s31-d31_8_3		s31-d31_10_5		s31-d31_13_5	s31-d31_14_4	s31-d31_15_4			s31-d31_18_2	s31-d31_19_7	s31-d31_20_4
s31-d31_1_6				s31-d31_8_4	s31-d31_9_4						s31-d31_16_3			s31-d31_19_8	
	s31-d31_2_3	s31-d31_5_7	s31-d31_6_5	s31-d31_8_5					s31-d31_14_5	s31-d31_15_5		s31-d31_17_6	s31-d31_18_3	s31-d31_19_9	s31-d31_20_5
															
															
		s31-d31_5_8													
	s31-d31_2_4		s31-d31_6_6	s31-d31_8_6	s31-d31_9_5									s31-d31_19_10	
		s31-d31_5_9													
s31-d31_1_7	s31-d31_2_5		s31-d31_6_7	s31-d31_8_7	s31-d31_9_6	s31-d31_10_6	s31-d31_12_4	s31-d31_13_6	s31-d31_14_6	s31-d31_15_6	s31-d31_16_4	s31-d31_17_7	s31-d31_18_4		s31-d31_20_6
s31-d31_1_8		s31-d31_5_10						s31-d31_13_7		s31-d31_15_7		s31-d31_17_8		s31-d31_19_11	s31-d31_20_7
															
														s31-d31_19_12	
s31-d31_1_9	s31-d31_2_6	s31-d31_5_11	s31-d31_6_8	s31-d31_8_8	s31-d31_9_7	s31-d31_10_7	s31-d31_12_5	s31-d31_13_8	s31-d31_14_7	s31-d31_15_8		s31-d31_17_9	s31-d31_18_5		s31-d31_20_8
															
															
												s31-d31_17_10			
	s31-d31_2_7	s31-d31_5_12	s31-d31_6_9						s31-d31_14_8	s31-d31_15_9			s31-d31_18_6		
															
															
		s31-d31_5_13	s31-d31_6_10				s31-d31_12_6			s31-d31_15_10		s31-d31_17_11	s31-d31_18_7		s31-d31_20_9
	s31-d31_2_8	s31-d31_5_14	s31-d31_6_11	s31-d31_8_9	s31-d31_9_8	s31-d31_10_8	s31-d31_12_7		s31-d31_14_9	s31-d31_15_11	s31-d31_16_5	s31-d31_17_12	s31-d31_18_8		s31-d31_20_10
