s13-d54_1_1		s13-d54_3_1		s13-d54_5_1			s13-d54_8_1			s13-d54_12_1		s13-d54_14_1	s13-d54_15_1				s13-d54_19_1	
			s13-d54_4_1												s13-d54_17_1			s13-d54_20_1
	s13-d54_2_1				s13-d54_6_1				s13-d54_11_1									
s13-d54_1_2		s13-d54_3_2	s13-d54_4_2	s13-d54_5_2	s13-d54_6_2	s13-d54_7_1	s13-d54_8_2		s13-d54_11_2	s13-d54_12_2	s13-d54_13_1	s13-d54_14_2	s13-d54_15_2		s13-d54_17_2		s13-d54_19_2	s13-d54_20_2
				s13-d54_5_3			s13-d54_8_3			s13-d54_12_3		s13-d54_14_3			s13-d54_17_3		s13-d54_19_3	
		s13-d54_3_3																
s13-d54_1_3											s13-d54_13_2				s13-d54_17_4			
	s13-d54_2_2		s13-d54_4_3		s13-d54_6_3	s13-d54_7_2			s13-d54_11_3									s13-d54_20_3
						s13-d54_7_3							s13-d54_15_3					
														s13-d54_16_1				
s13-d54_1_4	s13-d54_2_3	s13-d54_3_4		s13-d54_5_4			s13-d54_8_4	s13-d54_10_1		s13-d54_12_4	s13-d54_13_3	s13-d54_14_4			s13-d54_17_5	s13-d54_18_1	s13-d54_19_4	s13-d54_20_4
													s13-d54_15_4	s13-d54_16_2				
												s13-d54_14_5						
s13-d54_1_5		s13-d54_3_5	s13-d54_4_4	s13-d54_5_5	s13-d54_6_4	s13-d54_7_4	s13-d54_8_5	s13-d54_10_2		s13-d54_12_5	s13-d54_13_4				s13-d54_17_6	s13-d54_18_2	s13-d54_19_5	
				s13-d54_5_6									s13-d54_15_5					
s13-d54_1_6		s13-d54_3_6					s13-d54_8_6			s13-d54_12_6		s13-d54_14_6			s13-d54_17_7		s13-d54_19_6	s13-d54_20_5
		s13-d54_3_7					s13-d54_8_7		s13-d54_11_4	s13-d54_12_7							s13-d54_19_7	
				s13-d54_5_7								s13-d54_14_7			s13-d54_17_8			s13-d54_20_6
																		
																	s13-d54_19_8	
	s13-d54_2_4			s13-d54_5_8				s13-d54_10_3					s13-d54_15_6. s13-d54_15_7		s13-d54_17_9	s13-d54_18_3		
								s13-d54_10_4	s13-d54_11_5				s13-d54_15_8	s13-d54_16_3		s13-d54_18_4		
																		
				s13-d54_5_9	s13-d54_6_5		s13-d54_8_8		s13-d54_11_6						s13-d54_17_10	s13-d54_18_5		s13-d54_20_7
																		
								s13-d54_10_5										
														s13-d54_16_4				
																		
													s13-d54_15_9					
										s13-d54_12_8								
																		
			s13-d54_4_5	s13-d54_5_10											s13-d54_17_11		s13-d54_19_9	
s13-d54_1_7	s13-d54_2_5								s13-d54_11_7			s13-d54_14_8	s13-d54_15_10			s13-d54_18_6		s13-d54_20_8
								s13-d54_10_6						s13-d54_16_5				
																		
																		
																		
																		
									s13-d54_11_8									
				s13-d54_5_11	s13-d54_6_6					s13-d54_12_9						s13-d54_18_7		
s13-d54_1_8	s13-d54_2_6	s13-d54_3_8	s13-d54_4_6	s13-d54_5_12		s13-d54_7_5		s13-d54_10_7			s13-d54_13_5	s13-d54_14_9			s13-d54_17_12		s13-d54_19_10	s13-d54_20_9
