s21-d45_1_1	s21-d45_4_1	s21-d45_5_1			s21-d45_9_1	s21-d45_10_1			s21-d45_15_1	s21-d45_17_1	s21-d45_18_1	s21-d45_19_1. s21-d45_19_2	
s21-d45_1_2							s21-d45_12_1		s21-d45_15_2	s21-d45_17_2			
	s21-d45_4_2	s21-d45_5_2	s21-d45_7_1	s21-d45_8_1	s21-d45_9_2	s21-d45_10_2							s21-d45_20_1
s21-d45_1_3	s21-d45_4_3	s21-d45_5_3			s21-d45_9_3				s21-d45_15_3	s21-d45_17_3	s21-d45_18_2	s21-d45_19_3	
s21-d45_1_4	s21-d45_4_4	s21-d45_5_4	s21-d45_7_2	s21-d45_8_2	s21-d45_9_4	s21-d45_10_3		s21-d45_13_1	s21-d45_15_4	s21-d45_17_4. s21-d45_17_5	s21-d45_18_3	s21-d45_19_4	
s21-d45_1_5		s21-d45_5_5										s21-d45_19_5	
	s21-d45_4_5		s21-d45_7_3				s21-d45_12_2	s21-d45_13_2	s21-d45_15_5	s21-d45_17_6	s21-d45_18_4		s21-d45_20_2
													s21-d45_20_3
													
													
			s21-d45_7_4		s21-d45_9_5						s21-d45_18_5		
													
												s21-d45_19_6	
													
s21-d45_1_6	s21-d45_4_6			s21-d45_8_3		s21-d45_10_4	s21-d45_12_3	s21-d45_13_3	s21-d45_15_6	s21-d45_17_7		s21-d45_19_7	s21-d45_20_4
	s21-d45_4_7	s21-d45_5_6	s21-d45_7_5	s21-d45_8_4	s21-d45_9_6	s21-d45_10_5		s21-d45_13_4	s21-d45_15_7	s21-d45_17_8		s21-d45_19_8	s21-d45_20_5. s21-d45_20_6
													
											s21-d45_18_6		
s21-d45_1_7	s21-d45_4_8	s21-d45_5_7	s21-d45_7_6		s21-d45_9_7	s21-d45_10_6	s21-d45_12_4	s21-d45_13_5	s21-d45_15_8	s21-d45_17_9			
		s21-d45_5_8		s21-d45_8_5	s21-d45_9_8	s21-d45_10_7				s21-d45_17_10			
													
												s21-d45_19_9	
													
s21-d45_1_8	s21-d45_4_9	s21-d45_5_9	s21-d45_7_7	s21-d45_8_6	s21-d45_9_9	s21-d45_10_8	s21-d45_12_5	s21-d45_13_6	s21-d45_15_9	s21-d45_17_11	s21-d45_18_7		s21-d45_20_7
													
			s21-d45_7_8	s21-d45_8_7	s21-d45_9_10	s21-d45_10_9		s21-d45_13_7		s21-d45_17_12			
