s27-d54_1_1			s27-d54_4_1		s27-d54_6_1	s27-d54_7_1			s27-d54_10_1				s27-d54_16_1		s27-d54_19_1	
		s27-d54_3_1												s27-d54_18_1		
																s27-d54_20_1
	s27-d54_2_1			s27-d54_5_1						s27-d54_12_1	s27-d54_13_1					
s27-d54_1_2			s27-d54_4_2	s27-d54_5_2					s27-d54_10_2	s27-d54_12_2	s27-d54_13_2		s27-d54_16_2		s27-d54_19_2	
		s27-d54_3_2												s27-d54_18_2		
		s27-d54_3_3	s27-d54_4_3										s27-d54_16_3			
s27-d54_1_3	s27-d54_2_2			s27-d54_5_3	s27-d54_6_2	s27-d54_7_2			s27-d54_10_3	s27-d54_12_3	s27-d54_13_3			s27-d54_18_3	s27-d54_19_3	s27-d54_20_2
s27-d54_1_4			s27-d54_4_4	s27-d54_5_4	s27-d54_6_3	s27-d54_7_3			s27-d54_10_4	s27-d54_12_4			s27-d54_16_4	s27-d54_18_4	s27-d54_19_4	
			s27-d54_4_5									s27-d54_15_1				
s27-d54_1_5	s27-d54_2_3			s27-d54_5_5					s27-d54_10_5	s27-d54_12_5		s27-d54_15_2	s27-d54_16_5	s27-d54_18_5	s27-d54_19_5	
		s27-d54_3_4								s27-d54_12_6						
									s27-d54_10_6							
												s27-d54_15_3				
										s27-d54_12_7		s27-d54_15_4				
																
s27-d54_1_6			s27-d54_4_6	s27-d54_5_6	s27-d54_6_4				s27-d54_10_7	s27-d54_12_8	s27-d54_13_4	s27-d54_15_5	s27-d54_16_6	s27-d54_18_6	s27-d54_19_6	s27-d54_20_3
																
s27-d54_1_7	s27-d54_2_4		s27-d54_4_7	s27-d54_5_7	s27-d54_6_5	s27-d54_7_4			s27-d54_10_8	s27-d54_12_9			s27-d54_16_7	s27-d54_18_7	s27-d54_19_7	
		s27-d54_3_5		s27-d54_5_8					s27-d54_10_9			s27-d54_15_6				
																
																
																
																
																
																
s27-d54_1_8				s27-d54_5_9					s27-d54_10_10	s27-d54_12_10					s27-d54_19_8	s27-d54_20_4
	s27-d54_2_5	s27-d54_3_6	s27-d54_4_8	s27-d54_5_10					s27-d54_10_11	s27-d54_12_11			s27-d54_16_8	s27-d54_18_8	s27-d54_19_9	
											s27-d54_13_5					
s27-d54_1_9			s27-d54_4_9	s27-d54_5_11	s27-d54_6_6	s27-d54_7_5		s27-d54_9_1. s27-d54_9_2. s27-d54_9_3. s27-d54_9_4. s27-d54_9_5. s27-d54_9_6. s27-d54_9_7. s27-d54_9_8. s27-d54_9_9. s27-d54_9_10	s27-d54_10_12		s27-d54_13_6		s27-d54_16_9	s27-d54_18_9		s27-d54_20_5
																
																
	s27-d54_2_6					s27-d54_7_6										
s27-d54_1_10	s27-d54_2_7	s27-d54_3_7	s27-d54_4_10	s27-d54_5_12	s27-d54_6_7	s27-d54_7_7		s27-d54_9_11	s27-d54_10_13	s27-d54_12_12	s27-d54_13_7	s27-d54_15_7	s27-d54_16_10	s27-d54_18_10		s27-d54_20_6
																
																
		s27-d54_3_8			s27-d54_6_8									s27-d54_18_11		
																
																
																
																
		s27-d54_3_9			s27-d54_6_9											s27-d54_20_7
	s27-d54_2_8					s27-d54_7_8		s27-d54_9_12		s27-d54_12_13	s27-d54_13_8	s27-d54_15_8		s27-d54_18_12		
				s27-d54_5_13					s27-d54_10_14							
				s27-d54_5_14	s27-d54_6_10			s27-d54_9_13	s27-d54_10_15	s27-d54_12_14				s27-d54_18_13		
																
