s29-d42_2_1					s29-d42_8_1							s29-d42_16_1				
		s29-d42_4_1					s29-d42_10_1	s29-d42_11_1	s29-d42_12_1		s29-d42_14_1	s29-d42_16_2	s29-d42_17_1	s29-d42_18_1		
																
s29-d42_2_2. s29-d42_2_3	s29-d42_3_1	s29-d42_4_2	s29-d42_6_1	s29-d42_7_1	s29-d42_8_2. s29-d42_8_3	s29-d42_9_1	s29-d42_10_2. s29-d42_10_3	s29-d42_11_2. s29-d42_11_3	s29-d42_12_2. s29-d42_12_3		s29-d42_14_2. s29-d42_14_3	s29-d42_16_3	s29-d42_17_2. s29-d42_17_3	s29-d42_18_2	s29-d42_19_1	s29-d42_20_1
																
																
																
												s29-d42_16_4				
s29-d42_2_4	s29-d42_3_2	s29-d42_4_3		s29-d42_7_2	s29-d42_8_4				s29-d42_12_4		s29-d42_14_4	s29-d42_16_5	s29-d42_17_4			s29-d42_20_2
s29-d42_2_5		s29-d42_4_4	s29-d42_6_2		s29-d42_8_5	s29-d42_9_2	s29-d42_10_4. s29-d42_10_5	s29-d42_11_4			s29-d42_14_5	s29-d42_16_6	s29-d42_17_5	s29-d42_18_3	s29-d42_19_2	
s29-d42_2_6		s29-d42_4_5			s29-d42_8_6		s29-d42_10_6		s29-d42_12_5	s29-d42_13_1	s29-d42_14_6					
								s29-d42_11_5					s29-d42_17_6			
												s29-d42_16_7				
s29-d42_2_7		s29-d42_4_6. s29-d42_4_7			s29-d42_8_7. s29-d42_8_8		s29-d42_10_7. s29-d42_10_8	s29-d42_11_6. s29-d42_11_7	s29-d42_12_6		s29-d42_14_7	s29-d42_16_8	s29-d42_17_7	s29-d42_18_4		
s29-d42_2_8																
s29-d42_2_9	s29-d42_3_3	s29-d42_4_8	s29-d42_6_3	s29-d42_7_3	s29-d42_8_9	s29-d42_9_3	s29-d42_10_9	s29-d42_11_8	s29-d42_12_7	s29-d42_13_2			s29-d42_17_8	s29-d42_18_5	s29-d42_19_3	s29-d42_20_3
						s29-d42_9_4										
												s29-d42_16_9				
s29-d42_2_10. s29-d42_2_11	s29-d42_3_4	s29-d42_4_9. s29-d42_4_10	s29-d42_6_4		s29-d42_8_10. s29-d42_8_11	s29-d42_9_5	s29-d42_10_10. s29-d42_10_11	s29-d42_11_9	s29-d42_12_8. s29-d42_12_9	s29-d42_13_3		s29-d42_16_10	s29-d42_17_9	s29-d42_18_6	s29-d42_19_4	s29-d42_20_4
																
																
																
												s29-d42_16_11				
s29-d42_2_12		s29-d42_4_11														
																
																
	s29-d42_3_5	s29-d42_4_12														
																
																
														s29-d42_18_7	s29-d42_19_5	
s29-d42_2_13	s29-d42_3_6		s29-d42_6_5			s29-d42_9_6		s29-d42_11_10		s29-d42_13_4				s29-d42_18_8		s29-d42_20_5
																
																
																
																
																
																
																
																
				s29-d42_7_4												
	s29-d42_3_7		s29-d42_6_6			s29-d42_9_7									s29-d42_19_6	s29-d42_20_6
																
																
										s29-d42_13_5						
																
																
																
																
																
						s29-d42_9_8										s29-d42_20_7
																
																
																
																
								s29-d42_11_11								
																
	s29-d42_3_8					s29-d42_9_9		s29-d42_11_12								
															s29-d42_19_7	
																
																
																s29-d42_20_8
																
																
																
																
																
																
																
																
																
																
														s29-d42_18_9		
																
																
																
	s29-d42_3_9		s29-d42_6_7	s29-d42_7_5				s29-d42_11_13						s29-d42_18_10	s29-d42_19_8	
						s29-d42_9_10				s29-d42_13_6						
				s29-d42_7_6												
																
																
	s29-d42_3_10		s29-d42_6_8	s29-d42_7_7		s29-d42_9_11. s29-d42_9_12		s29-d42_11_14		s29-d42_13_7				s29-d42_18_11. s29-d42_18_12	s29-d42_19_9	s29-d42_20_9. s29-d42_20_10
