				s29-d31_5_1					s29-d31_11_1	s29-d31_12_1	s29-d31_13_1		s29-d31_15_1	
	s29-d31_2_1	s29-d31_3_1			s29-d31_6_1		s29-d31_9_1					s29-d31_14_1		
s29-d31_1_1			s29-d31_4_1						s29-d31_11_2					
	s29-d31_2_2	s29-d31_3_2		s29-d31_5_2	s29-d31_6_2	s29-d31_7_1	s29-d31_9_2	s29-d31_10_1		s29-d31_12_2	s29-d31_13_2	s29-d31_14_2	s29-d31_15_2	s29-d31_20_1
	s29-d31_2_3		s29-d31_4_2	s29-d31_5_3		s29-d31_7_2			s29-d31_11_3			s29-d31_14_3	s29-d31_15_3	s29-d31_20_2
s29-d31_1_2	s29-d31_2_4	s29-d31_3_3	s29-d31_4_3		s29-d31_6_3	s29-d31_7_3	s29-d31_9_3		s29-d31_11_4	s29-d31_12_3	s29-d31_13_3. s29-d31_13_4	s29-d31_14_4	s29-d31_15_4	
														
s29-d31_1_3				s29-d31_5_4	s29-d31_6_4	s29-d31_7_4	s29-d31_9_4	s29-d31_10_2. s29-d31_10_3		s29-d31_12_4				
s29-d31_1_4										s29-d31_12_5				
						s29-d31_7_5	s29-d31_9_5	s29-d31_10_4						s29-d31_20_3
s29-d31_1_5							s29-d31_9_6							
	s29-d31_2_5	s29-d31_3_4	s29-d31_4_4	s29-d31_5_5	s29-d31_6_5	s29-d31_7_6	s29-d31_9_7	s29-d31_10_5	s29-d31_11_5	s29-d31_12_6	s29-d31_13_5	s29-d31_14_5	s29-d31_15_5	s29-d31_20_4
s29-d31_1_6	s29-d31_2_6. s29-d31_2_7	s29-d31_3_5	s29-d31_4_5		s29-d31_6_6	s29-d31_7_7	s29-d31_9_8		s29-d31_11_6	s29-d31_12_7	s29-d31_13_6	s29-d31_14_6	s29-d31_15_6	s29-d31_20_5
