s23-d31_1_1						s23-d31_9_1		s23-d31_11_1	s23-d31_12_1	s23-d31_13_1					
								s23-d31_11_2	s23-d31_12_2	s23-d31_13_2					
s23-d31_1_2				s23-d31_6_1		s23-d31_9_2					s23-d31_14_1	s23-d31_15_1			s23-d31_20_1
															
s23-d31_1_3		s23-d31_4_1	s23-d31_5_1		s23-d31_7_1	s23-d31_9_3	s23-d31_10_1	s23-d31_11_3	s23-d31_12_3	s23-d31_13_3	s23-d31_14_2	s23-d31_15_2		s23-d31_19_1	s23-d31_20_2
s23-d31_1_4					s23-d31_7_2								s23-d31_17_1	s23-d31_19_2	s23-d31_20_3
s23-d31_1_5	s23-d31_3_1. s23-d31_3_2. s23-d31_3_3. s23-d31_3_4	s23-d31_4_2	s23-d31_5_2	s23-d31_6_2		s23-d31_9_4		s23-d31_11_4	s23-d31_12_4			s23-d31_15_3			
s23-d31_1_6														s23-d31_19_3	
			s23-d31_5_3		s23-d31_7_3		s23-d31_10_2		s23-d31_12_5		s23-d31_14_3		s23-d31_17_2		
															
s23-d31_1_7		s23-d31_4_3			s23-d31_7_4					s23-d31_13_4	s23-d31_14_4		s23-d31_17_3	s23-d31_19_4	
				s23-d31_6_3			s23-d31_10_3								
s23-d31_1_8		s23-d31_4_4	s23-d31_5_4		s23-d31_7_5	s23-d31_9_5	s23-d31_10_4				s23-d31_14_5		s23-d31_17_4	s23-d31_19_5	s23-d31_20_4
															
s23-d31_1_9		s23-d31_4_5	s23-d31_5_5								s23-d31_14_6			s23-d31_19_6	s23-d31_20_5
															
			s23-d31_5_6	s23-d31_6_4							s23-d31_14_7			s23-d31_19_7	
															
											s23-d31_14_8				
															
s23-d31_1_10	s23-d31_3_5. s23-d31_3_6	s23-d31_4_6	s23-d31_5_7	s23-d31_6_5	s23-d31_7_6	s23-d31_9_6	s23-d31_10_5	s23-d31_11_5	s23-d31_12_6	s23-d31_13_5	s23-d31_14_9	s23-d31_15_4. s23-d31_15_5	s23-d31_17_5	s23-d31_19_8	s23-d31_20_6
